Roster
Eli Ankou
Genard Avery
Odell Beckham Jr.
Joel Bitonio
Pharaoh Brown
Brandin Bryant
Morgan Burnett
Juston Burris
Antonio Callaway
Stephen Carlson
T.J. Carrie
Nick Chubb
Austin Corbett
Bryan Cox Jr.
Tae Davis
Daniel Ekuale
Drew Forbes
Myles Garrett
Garrett Gilbert
Jamie Gillan
Porter Gustin
Demetrius Harris
Willie Harvey
J.T. Hassell
Rashard Higgins
Dontrell Hilliard
KhaDarel Hodge
Chris Hubbard
Charley Hughlett
Kareem Hunt
Robert Jackson
Malik Jefferson
D'Ernest Johnson
Christian Kirksey
Eric Kush
Kendall Lamm
Jarvis Landry
Devaroe Lawrence
Baker Mayfield
Justin McCray
Rob McCray
Terrance Mitchell
Eric Murray
David Njoku
Larry Ogunjobi
Damarious Randall
Damion Ratley
Sheldrick Redwine
Sheldon Richardson
Greg Robinson
Joe Schobert
Ricky Seals-Jones
Austin Seibert
Chris Smith
Sione Takitaki
Adarius Taylor
Taywan Taylor
Wyatt Teller
Chad Thomas
Tavierre Thomas
J.C. Tretter
Olivier Vernon
Denzel Ward
Jermaine Whitehead
Greedy Williams
Mack Wilson
Justin Zimmer
Team Total
