Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,KAN 25,0,0,Isiah Pacheco left guard for 3 yards (tackle by Morgan Fox and Sebastian Joseph-Day),0.61,0.47
1,14:28,2,7,KAN 28,0,0,Patrick Mahomes pass complete short left to Jody Fortson for 11 yards (tackle by Michael Davis),0.47,1.53
1,13:57,1,10,KAN 39,0,0,Patrick Mahomes pass incomplete short right,1.53,0.99
1,13:49,2,10,KAN 39,0,0,Isiah Pacheco left guard for 28 yards (tackle by Derwin James and Nasir Adderley),0.99,3.38
1,13:15,1,10,LAC 33,0,0,Patrick Mahomes pass incomplete deep right intended for Justin Watson,3.38,2.84
1,13:08,2,10,LAC 33,0,0,Patrick Mahomes pass complete short right to Noah Gray for 3 yards (tackle by Drue Tranquill and Kyle Van Noy),2.84,2.54
1,12:26,3,7,LAC 30,0,0,Patrick Mahomes pass complete short right to Skyy Moore for 9 yards (tackle by Derwin James),2.54,4.17
1,11:47,1,10,LAC 21,0,0,Clyde Edwards-Helaire up the middle for 6 yards (tackle by Michael Davis and Nasir Adderley),4.17,4.55
1,11:07,2,4,LAC 15,0,0,Patrick Mahomes pass incomplete intended for Travis Kelce,4.55,3.81
1,11:01,3,4,LAC 15,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,3.81,2.52
1,10:58,4,4,LAC 15,3,0,Harrison Butker 33 yard field goal good,2.52,3
1,10:54,,,KAN 35,3,0,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
1,10:54,1,10,LAC 25,3,0,Justin Herbert pass complete short right to Keenan Allen for 17 yards (tackle by Justin Reid),0.61,1.73
1,10:18,1,10,LAC 42,3,0,Justin Herbert pass complete short left to DeAndre Carter for 8 yards (tackle by Trent McDuffie and Juan Thornhill),1.73,2.27
1,9:42,2,2,LAC 50,3,6,"Justin Herbert pass complete deep left to Josh Palmer for 50 yards, touchdown",2.27,7
1,9:33,,,KAN 15,3,7,Cameron Dicker kicks extra point good,0,0
1,9:33,,,LAC 35,3,7,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,9:33,1,10,KAN 25,3,7,Patrick Mahomes pass complete short middle to Travis Kelce for 27 yards (tackle by Asante Samuel),0.61,2.39
1,8:53,1,10,LAC 48,3,7,Patrick Mahomes pass complete short middle to Skyy Moore for 8 yards (tackle by Bryce Callahan and Nasir Adderley),2.39,2.93
1,8:20,2,2,LAC 40,3,7,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Breiden Fehoko),2.93,3.12
1,7:34,,,,,,Timeout #1 by Kansas City Chiefs,,
1,7:34,1,10,LAC 37,3,7,Patrick Mahomes pass complete short middle to Travis Kelce for 1 yard (tackle by Breiden Fehoko),3.12,2.71
1,6:51,2,9,LAC 36,3,7,"Patrick Mahomes scrambles right end for 2 yards. Patrick Mahomes fumbles (forced by Sebastian Joseph-Day), recovered by Patrick Mahomes at LAC-34",2.71,2.28
1,6:08,3,7,LAC 34,3,7,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,2.28,1.06
1,6:03,4,7,LAC 34,6,7,Harrison Butker 52 yard field goal good,1.06,3
1,5:58,,,KAN 35,6,7,"Harrison Butker kicks off 65 yards, touchback.",0,0.61
1,5:58,1,10,LAC 25,6,7,Austin Ekeler right guard for 7 yards (tackle by Chris Jones and Leo Chenal),0.61,1.01
1,5:24,2,3,LAC 32,6,7,Austin Ekeler right end for 1 yard (tackle by Nick Bolton),1.01,0.43
1,4:43,3,2,LAC 33,6,7,Justin Herbert pass complete short right to Mike Williams for 15 yards (tackle by L'Jarius Sneed),0.43,2.13
1,4:26,1,10,LAC 48,6,7,Austin Ekeler right guard for 8 yards (tackle by Khalen Saunders and Nick Bolton),2.13,2.66
1,3:55,2,2,KAN 44,6,7,Justin Herbert pass complete short right to Josh Palmer for 11 yards (tackle by Joshua Williams),2.66,3.38
