Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
,,,,,,,"Cardinals won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,LAC 25,0,0,Austin Ekeler left tackle for 7 yards (tackle by Jalen Thompson and Ben Niemann),0.61,1.01
1,14:27,2,3,LAC 32,0,0,Justin Herbert pass incomplete short left intended for Austin Ekeler,1.01,0.3
1,14:24,3,3,LAC 32,0,0,Justin Herbert pass complete short right to Keenan Allen for 13 yards (tackle by Antonio Hamilton),0.3,1.93
1,13:52,1,10,LAC 45,0,0,Isaiah Spiller up the middle for 3 yards (tackle by Budda Baker and Trysten Hill),1.93,1.79
1,13:15,2,7,LAC 48,0,0,Isaiah Spiller up the middle for no gain (tackle by Zaven Collins and Leki Fotu),1.79,1.09
1,12:34,3,7,LAC 48,0,0,Justin Herbert sacked by J.J. Watt for -8 yards,1.09,-0.72
1,11:53,4,15,LAC 40,0,0,"JK Scott punts 48 yards, fair catch by Pharoh Cooper at ARI-12",-0.72,0.35
1,11:44,1,10,ARI 12,0,0,Kyler Murray pass complete short left to Marquise Brown for 11 yards (tackle by Michael Davis),-0.35,0.48
1,11:16,1,10,ARI 23,0,0,James Conner left end for 18 yards (tackle by Alohi Gilman),0.48,1.66
1,10:38,1,10,ARI 41,0,0,"James Conner left tackle for 8 yards. James Conner fumbles (forced by Derwin James), recovered by Sebastian Joseph-Day at ARI-47 (tackle by Derwin James). Penalty on Rashaad Coward: Offensive Holding, 10 yards (declined)",1.66,-2.46
1,10:27,1,10,ARI 47,0,0,Justin Herbert pass complete short left to DeAndre Carter for 6 yards (tackle by Isaiah Simmons),2.46,2.72
1,10:00,2,4,ARI 41,0,0,Justin Herbert pass incomplete short left intended for DeAndre Carter (defended by J.J. Watt),2.72,2.01
1,9:56,3,4,ARI 41,0,0,Justin Herbert sacked by Cameron Thomas for -3 yards,2.01,0.33
1,9:16,4,7,ARI 44,0,0,JK Scott punts 26 yards downed by Zander Horvath,0.33,-0.04
1,9:05,1,10,ARI 18,0,0,"James Conner up the middle for no gain (tackle by Alohi Gilman and Derwin James). Penalty on Billy Price: Offensive Holding, 9 yards (accepted) (no play)",0.04,-0.72
1,8:42,1,19,ARI 9,0,0,Kyler Murray scrambles left end for 11 yards (tackle by Michael Davis),-0.72,-0.13
1,8:10,2,8,ARI 20,0,0,Kyler Murray pass complete short left to Robbie Anderson for 17 yards (tackle by Derwin James),-0.13,1.4
1,7:24,1,10,ARI 37,0,0,James Conner left end for 8 yards (tackle by Michael Davis and Alohi Gilman),1.4,1.94
1,6:50,2,2,ARI 45,0,0,James Conner up the middle for 6 yards (tackle by Drue Tranquill),1.94,2.32
1,6:16,1,10,LAC 49,0,0,Kyler Murray right end for 7 yards (tackle by Kyle Van Noy),2.32,2.73
1,5:37,2,3,LAC 42,0,0,James Conner up the middle for -1 yards (tackle by Khalil Mack and Kenneth Murray),2.73,1.88
1,4:57,3,4,LAC 43,0,0,Kyler Murray pass complete short right to James Conner for 5 yards (tackle by Alohi Gilman),1.88,3.05
1,4:15,1,10,LAC 38,0,0,Kyler Murray pass complete short left to Marquise Brown for no gain (tackle by Alohi Gilman and Derwin James),3.05,2.51
1,3:28,2,10,LAC 38,0,0,Kyler Murray pass complete short right to A.J. Green for 5 yards (tackle by Asante Samuel),2.51,2.48
1,2:41,3,5,LAC 33,0,6,"Kyler Murray pass complete short middle to DeAndre Hopkins for 33 yards, touchdown. Penalty on Drue Tranquill: Defensive Offside, 5 yards (declined)",2.48,7
1,2:33,,,LAC 15,0,7,Matt Prater kicks extra point good,0,0
1,2:33,,,ARI 35,0,7,"Matt Prater kicks off 65 yards, touchback.",0,0.61
1,2:33,1,10,LAC 25,0,7,Austin Ekeler up the middle for -2 yards (tackle by Trysten Hill),0.61,-0.21
1,2:15,2,12,LAC 23,0,7,Justin Herbert pass incomplete short middle intended for Austin Ekeler,-0.21,-0.82
1,2:08,3,12,LAC 24,0,7,"Penalty on Jamaree Salyer: False Start, 5 yards (accepted) (no play)",-0.82,-1.72
1,2:08,3,17,LAC 18,0,7,Justin Herbert pass incomplete short left intended for Joshua Kelley,-1.72,-2.24
1,2:03,4,17,LAC 18,0,7,"JK Scott punts 41 yards, returned by Pharoh Cooper for 15 yards (tackle by Deane Leonard)",-2.24,-2.65
1,1:51,1,10,LAC 44,0,7,James Conner right tackle for 8 yards (tackle by Asante Samuel and Drue Tranquill),2.65,3.19
1,1:10,2,2,LAC 36,0,7,James Conner up the middle for no gain (tackle by Morgan Fox),3.19,2.48
1,0:26,3,2,LAC 36,0,7,James Conner right guard for 7 yards (tackle by Michael Davis),2.48,3.64
2,15:00,1,10,LAC 29,0,7,James Conner up the middle for 4 yards (tackle by Morgan Fox and Derwin James),3.64,3.64
2,14:24,2,6,LAC 25,0,7,Kyler Murray pass incomplete short right intended for Robbie Anderson (defended by Michael Davis),3.64,2.94
2,14:19,3,6,LAC 25,0,7,Kyler Murray pass incomplete deep right,2.94,1.83
2,14:07,4,6,LAC 25,0,10,Matt Prater 43 yard field goal good,1.83,3
2,14:03,,,ARI 35,0,10,"Matt Prater kicks off 65 yards, touchback.",0,0.61
2,14:03,1,10,LAC 25,0,10,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Marco Wilson),0.61,1.14
2,13:36,2,2,LAC 33,0,10,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Myjai Sanders),1.14,0.43
2,13:31,3,2,LAC 33,0,10,Justin Herbert pass complete short left to Josh Palmer for 4 yards (tackle by Marco Wilson),0.43,1.4
2,12:51,1,10,LAC 37,0,10,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Isaiah Simmons),1.4,1.8
2,11:49,2,3,LAC 44,0,10,"Justin Herbert pass complete short middle to Josh Palmer for 19 yards. Josh Palmer fumbles (forced by Trayvon Mullen), recovered by Trayvon Mullen at ARI-38 (tackle by Trayvon Mullen) Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass complete to Josh Palmer for 18 yards. Josh Palmer fumbles (forced by Trayvon Mullen), recovered by Michael Bandy at ARI-38 (tackle by Trayvon Mullen)",1.8,3.05
2,11:49,1,10,ARI 38,0,10,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Tanner Vallejo),3.05,3.72
2,11:12,2,1,ARI 29,0,10,Joshua Kelley right tackle for no gain (tackle by Trayvon Mullen),3.72,3.01
2,10:54,3,1,ARI 29,0,10,Justin Herbert up the middle for 1 yard (tackle by Zach Allen and Tanner Vallejo),3.01,3.71
2,10:10,1,10,ARI 28,0,10,Justin Herbert pass complete short left to Joshua Kelley for 11 yards (tackle by Isaiah Simmons),3.71,4.44
2,9:31,1,10,ARI 17,0,10,Justin Herbert scrambles left end for 15 yards (tackle by Antonio Hamilton),4.44,6.74
2,8:55,1,2,ARI 2,6,10,"Justin Herbert pass complete short left to Keenan Allen for 2 yards, touchdown",6.74,7
2,8:51,,,ARI 15,7,10,Cameron Dicker kicks extra point good,0,0
2,8:51,,,LAC 35,7,10,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,8:51,1,10,ARI 25,7,10,Kyler Murray pass incomplete deep left intended for DeAndre Hopkins,0.61,0.06
2,8:45,2,10,ARI 25,7,10,Kyler Murray pass complete short right to Marquise Brown for 9 yards (tackle by Bryce Callahan),0.06,0.56
2,8:00,3,1,ARI 34,7,10,Kyler Murray right end for no gain (tackle by Khalil Mack),0.56,-1.11
2,7:12,4,1,ARI 34,7,10,Kyler Murray pass deep left intended for DeAndre Hopkins is intercepted by Derwin James at LAC-44 and returned for no gain (tackle by DeAndre Hopkins),-1.11,-1.86
2,7:03,1,10,LAC 44,7,10,Justin Herbert pass complete short left to Keenan Allen for 10 yards (tackle by Marco Wilson),1.86,2.52
2,6:22,1,10,ARI 46,7,10,Justin Herbert pass complete short left to Austin Ekeler for 12 yards (tackle by Isaiah Simmons and Marco Wilson),2.52,3.31
2,5:46,1,10,ARI 34,7,10,Justin Herbert pass complete short right to Isaiah Spiller for 2 yards (tackle by Isaiah Simmons),3.31,3.04
2,5:09,2,8,ARI 32,7,10,"Justin Herbert pass complete short middle to Austin Ekeler for 9 yards (tackle by Marco Wilson and Budda Baker). Penalty on Tre' McKitty: Offensive Illegal Block Above the Waist, 10 yards (accepted)",3.04,2.91
2,4:36,2,9,ARI 33,13,10,"Justin Herbert pass complete deep left to DeAndre Carter for 33 yards, touchdown",2.91,7
2,4:28,,,ARI 15,14,10,Cameron Dicker kicks extra point good,0,0
2,4:28,,,LAC 35,14,10,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,4:28,1,10,ARI 25,14,10,James Conner up the middle for 5 yards (tackle by Drue Tranquill),0.61,0.74
2,3:55,2,5,ARI 30,14,10,Kyler Murray pass incomplete deep right intended for Marquise Brown,0.74,0.04
2,3:40,3,5,ARI 30,14,10,"Kyler Murray pass complete short left to Andre Baccellia for 7 yards (tackle by Alohi Gilman and Bryce Callahan). Penalty on Khalil Mack: Illegal Use of Hands / Defense, 5 yards (declined)",0.04,1.4
2,3:25,1,10,ARI 37,14,10,James Conner right tackle for 4 yards (tackle by Alohi Gilman and Kenneth Murray),1.4,1.4
2,2:50,2,6,ARI 41,14,10,Kyler Murray pass complete short left to Trey McBride for 1 yard (tackle by Kenneth Murray),1.4,0.83
2,2:07,3,5,ARI 42,14,10,"Penalty on LAC: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.83,2.06
2,2:00,1,10,ARI 47,14,10,James Conner left tackle for no gain (tackle by Breiden Fehoko),2.06,1.52
2,1:57,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:57,2,10,ARI 47,14,10,Kyler Murray pass complete deep left to DeAndre Hopkins for 21 yards (tackle by Derwin James),1.52,3.45
2,1:21,1,10,LAC 32,14,10,Keaontay Ingram right guard for 4 yards (tackle by Bryce Callahan),3.45,3.44
2,0:46,2,6,LAC 28,14,10,Kyler Murray pass incomplete deep right intended for Marquise Brown,3.44,2.74
2,0:40,,,,,,Timeout #1 by Arizona Cardinals,,
2,0:40,3,6,LAC 28,14,10,Kyler Murray scrambles right end for 6 yards (tackle by Alohi Gilman),2.74,4.11
2,0:32,1,10,LAC 22,14,10,Keaontay Ingram right end for 1 yard (tackle by Drue Tranquill),4.11,3.7
2,0:26,2,9,LAC 21,14,10,Kyler Murray left tackle for 9 yards (tackle by Derwin James and Kenneth Murray),3.7,4.78
2,0:21,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:21,1,10,LAC 12,14,10,Kyler Murray pass complete short right to Marquise Brown for 7 yards (tackle by Kenneth Murray),4.78,5.41
2,0:17,,,,,,Timeout #3 by Arizona Cardinals,,
2,0:17,2,3,LAC 5,14,16,"Kyler Murray scrambles left end for 5 yards, touchdown",5.41,7
2,0:12,,,LAC 15,14,17,Matt Prater kicks extra point good,0,0
2,0:12,,,ARI 35,14,17,"Matt Prater kicks off 65 yards, touchback.",0,0.61
2,0:12,1,10,LAC 25,14,17,Justin Herbert kneels for -1 yards,0.61,-0.07
3,15:00,,,LAC 35,14,17,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,ARI 25,14,17,Kyler Murray right end for 18 yards (tackle by Kyle Van Noy),0.61,1.8
3,14:25,1,10,ARI 43,14,17,James Conner left end for 20 yards (tackle by Alohi Gilman),1.8,3.12
3,13:40,1,10,LAC 37,14,17,James Conner right guard for 1 yard (tackle by Kyle Van Noy and Drue Tranquill),3.12,2.71
3,13:00,2,9,LAC 36,14,17,James Conner left tackle for 4 yards (tackle by Sebastian Joseph-Day),2.71,2.54
3,12:18,3,5,LAC 32,14,17,"Penalty on Billy Price: False Start, 5 yards (accepted) (no play)",2.54,1.88
3,11:58,3,10,LAC 37,14,17,James Conner right end for 6 yards (tackle by Morgan Fox and Kyle Van Noy),1.88,1.37
3,11:05,4,4,LAC 31,14,17,Matt Prater 49 yard field goal no good,1.37,-1.53
3,11:01,1,10,LAC 39,14,17,Justin Herbert pass complete short right to DeAndre Carter for no gain (tackle by Ben Niemann),1.53,0.99
3,10:25,2,10,LAC 39,14,17,Justin Herbert pass complete short left to DeAndre Carter for 12 yards (tackle by Marco Wilson),0.99,2.32
3,9:47,1,10,ARI 49,14,17,Justin Herbert pass complete short right to Gerald Everett for -3 yards (tackle by Ben Niemann and Jalen Thompson),2.32,1.38
3,9:03,2,13,LAC 48,14,17,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Myjai Sanders),1.38,1.09
3,8:20,3,10,ARI 49,14,17,Justin Herbert pass complete short right to DeAndre Carter for 13 yards,1.09,3.18
3,7:41,1,10,ARI 36,14,17,Justin Herbert pass complete short right to Joshua Kelley for 5 yards (tackle by Isaiah Simmons),3.18,3.31
3,6:55,2,5,ARI 31,14,17,Justin Herbert pass complete short right to Josh Palmer for 9 yards (tackle by Ben Niemann),3.31,4.11
3,6:16,1,10,ARI 22,14,17,Joshua Kelley right guard for 4 yards (tackle by Antonio Hamilton),4.11,4.13
3,6:00,2,6,ARI 18,14,17,Justin Herbert pass incomplete deep left intended for Keenan Allen (defended by Isaiah Simmons),4.13,3.4
3,5:51,3,6,ARI 18,14,17,Justin Herbert pass complete short right to Josh Palmer for 7 yards (tackle by Trayvon Mullen),3.4,4.84
3,5:22,1,10,ARI 11,14,17,Austin Ekeler right tackle for 3 yards (tackle by Budda Baker and Markus Golden),4.84,4.7
3,4:45,2,7,ARI 8,14,17,Justin Herbert pass incomplete short right intended for Austin Ekeler,4.7,3.76
3,4:36,3,7,ARI 8,14,17,Justin Herbert pass incomplete short middle intended for Keenan Allen,3.76,2.96
3,4:31,4,7,ARI 8,17,17,Cameron Dicker 26 yard field goal good,2.96,3
3,4:28,,,LAC 35,17,17,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
3,4:28,1,10,ARI 25,17,17,Kyler Murray pass complete deep right to DeAndre Hopkins for 29 yards (tackle by Derwin James),0.61,2.52
3,3:56,1,10,LAC 46,17,17,James Conner up the middle for 1 yard (tackle by Joe Gaziano),2.52,2.11
