Quarter,Time,Down,ToGo,Location,JAX,LAC,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,JAX 25,0,0,Trevor Lawrence pass complete short right to Zay Jones for 6 yards (tackle by Michael Davis),0.61,0.87
1,14:21,2,4,JAX 31,0,0,"Penalty on Austin Johnson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.87,1.33
1,14:08,1,10,JAX 36,0,0,James Robinson left guard for 20 yards (tackle by Bryce Callahan and Derwin James),1.33,2.65
1,13:26,1,10,LAC 44,0,0,Trevor Lawrence pass complete short right to Zay Jones for 4 yards (tackle by Derwin James),2.65,2.65
1,12:56,2,6,LAC 40,0,0,James Robinson up the middle for 1 yard (tackle by Sebastian Joseph-Day),2.65,2.08
1,12:18,3,5,LAC 39,0,0,Trevor Lawrence pass incomplete short left intended for Zay Jones,2.08,0.66
1,12:13,4,5,LAC 39,0,0,Trevor Lawrence pass incomplete short left intended for Marvin Jones,0.66,-1.6
1,12:08,1,10,LAC 40,0,0,Austin Ekeler right end for no gain (tackle by Rayshawn Jenkins),1.6,1.05
1,11:39,2,10,LAC 40,0,0,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Foyesade Oluokun and Josh Allen),1.05,0.76
1,10:54,3,7,LAC 43,0,0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Darious Williams),0.76,-0.52
1,10:49,4,7,LAC 43,0,0,"JK Scott punts 42 yards, fair catch by Jamal Agnew at JAC-15",-0.52,0.22
1,10:40,1,10,JAX 15,0,0,Travis Etienne left tackle for 6 yards (tackle by Joey Bosa and Sebastian Joseph-Day),-0.22,0.21
1,10:01,2,4,JAX 21,0,0,Travis Etienne up the middle for 5 yards (tackle by Kenneth Murray),0.21,0.67
1,9:25,1,10,JAX 26,0,0,Trevor Lawrence pass complete short left to Travis Etienne for 5 yards (tackle by Jerry Tillery),0.67,0.81
1,8:48,2,5,JAX 31,0,0,James Robinson left tackle for 4 yards (tackle by Khalil Mack),0.81,0.63
1,8:08,3,1,JAX 35,0,0,James Robinson left guard for no gain (tackle by Otito Ogbonnia and Derwin James),0.63,-1.04
1,7:31,4,1,JAX 35,0,0,"Logan Cooke punts 56 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Thomas)",-1.04,0.22
