Quarter,Time,Down,ToGo,Location,SEA,LAC,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Taylor Bertolet kicks off 66 yards, returned by D'Wayne Eskridge for 20 yards (tackle by Deane Leonard)",0,0.15
1,14:55,1,10,SEA 19,0,0,Geno Smith pass complete short left to Will Dissly for 16 yards (tackle by J.C. Jackson),0.15,1.27
1,14:21,1,10,SEA 35,0,0,Kenneth Walker left tackle for no gain (tackle by Sebastian Joseph-Day),1.27,0.72
1,13:57,2,10,SEA 35,0,0,Kenneth Walker left end for 15 yards (tackle by J.C. Jackson),0.72,2.26
1,13:29,1,10,SEA 50,0,0,Geno Smith pass short middle (defended by Asante Samuel) intended for Tyler Lockett is intercepted by Kenneth Murray at LAC-43 and returned for 16 yards (tackle by Will Dissly),2.26,-2.85
1,13:20,1,10,SEA 41,0,0,Austin Ekeler right end for 2 yards (tackle by Boye Mafe and Uchenna Nwosu),2.85,2.58
1,12:49,2,8,SEA 39,0,0,"Justin Herbert pass complete short right to Austin Ekeler for 2 yards. Austin Ekeler fumbles (forced by Jordyn Brooks), recovered by Tre' McKitty at SEA-33 (tackle by Jordyn Brooks) SEA challenged the pass completion ruling, and the play was upheld.",2.58,2.68
1,12:15,3,2,SEA 33,0,0,Austin Ekeler right end for 1 yard (tackle by Jordyn Brooks),2.68,1.31
1,11:49,4,1,SEA 32,0,0,Austin Ekeler right tackle for no gain (tackle by Ryan Neal and Boye Mafe),1.31,-1.07
1,11:40,1,10,SEA 32,0,0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on J.C. Jackson: Defensive Pass Interference, 11 yards (accepted) (no play)",1.07,1.8
1,11:37,1,10,SEA 43,0,0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on D.K. Metcalf: Offensive Pass Interference, 10 yards (accepted) (no play)",1.8,1.14
1,11:31,1,20,SEA 33,0,0,Geno Smith pass incomplete deep left intended for Noah Fant (defended by Bryce Callahan),1.14,-0.1
1,11:25,2,20,SEA 33,0,0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Nasir Adderley),-0.1,0.17
1,10:43,3,13,SEA 40,0,0,"Geno Smith pass incomplete intended for Tyler Lockett. Penalty on Bryce Callahan: Defensive Pass Interference, 14 yards (accepted) (no play)",0.17,2.52
1,10:37,1,10,LAC 46,0,0,Kenneth Walker right end for 7 yards (tackle by Otito Ogbonnia and Derwin James),2.52,2.92
1,10:05,2,3,LAC 39,0,0,"Kenneth Walker for no gain. Penalty on Noah Fant: Offensive Holding, 10 yards (accepted) (no play)",2.92,1.57
1,9:35,2,13,LAC 49,0,0,Geno Smith pass complete short left to D.K. Metcalf for 12 yards (tackle by Asante Samuel),1.57,2.48
1,8:56,3,1,LAC 37,0,0,Geno Smith pass complete short left to Marquise Goodwin for 21 yards (tackle by Derwin James),2.48,4.58
1,8:24,1,10,LAC 15,0,0,Kenneth Walker up the middle for -4 yards (tackle by Nasir Adderley),4.58,3.42
1,7:40,2,14,LAC 20,0,0,Geno Smith pass incomplete deep middle intended for Noah Fant,3.42,2.74
1,7:35,,,,,,Timeout #2 by Seattle Seahawks,,
1,7:35,3,14,LAC 20,6,0,"Geno Smith pass complete deep right to Marquise Goodwin for 20 yards, touchdown",2.74,7
1,7:29,,,LAC 15,7,0,Jason Myers kicks extra point good,0,0
1,7:29,,,SEA 35,7,0,"Jason Myers kicks off 61 yards, returned by DeAndre Carter for 21 yards (tackle by Tanner Muse and Justin Coleman)",0,0.61
1,7:24,1,10,LAC 25,7,0,Justin Herbert pass complete short middle to Austin Ekeler for 15 yards (tackle by Jordyn Brooks),0.61,1.6
1,6:52,1,10,LAC 40,7,0,Austin Ekeler up the middle for 2 yards (tackle by Bruce Irvin),1.6,1.32
1,6:15,2,8,LAC 42,7,0,Justin Herbert pass complete short left to Keenan Allen for 1 yard (tackle by Jordyn Brooks),1.32,0.76
1,5:36,3,7,LAC 43,7,0,Justin Herbert pass intended for DeAndre Carter is intercepted by Ryan Neal at SEA-44 and returned for 13 yards (tackle by Tre' McKitty),0.76,-2.72
1,5:26,1,10,LAC 43,7,0,DeeJay Dallas left tackle for 9 yards (tackle by Austin Johnson and Sebastian Joseph-Day),2.72,3.39
