Quarter,Time,Down,ToGo,Location,LAR,LAC,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,LAR 25,0,0,Cam Akers right guard for 8 yards (tackle by Asante Samuel and Nasir Adderley),0.61,1.14
1,14:19,2,2,LAR 33,0,0,Cam Akers right tackle for 8 yards (tackle by Drue Tranquill),1.14,1.66
1,13:43,1,10,LAR 41,0,0,Baker Mayfield pass incomplete short left intended for Cam Akers,1.66,1.12
1,13:36,2,10,LAR 41,0,0,Cam Akers left tackle for 6 yards (tackle by Alohi Gilman and Drue Tranquill),1.12,1.22
1,13:01,3,4,LAR 47,0,0,Baker Mayfield sacked by Morgan Fox for -7 yards,1.22,-0.72
1,12:19,4,11,LAR 40,0,0,Riley Dixon punts 36 yards out of bounds,-0.72,-0.54
1,12:13,1,10,LAC 24,0,0,Justin Herbert pass complete short middle to Keenan Allen for 6 yards (tackle by Ernest Jones),0.54,0.81
1,11:40,2,4,LAC 30,0,0,Keenan Allen right end for 8 yards (tackle by Cobie Durant),0.81,1.47
1,11:05,1,10,LAC 38,0,0,Austin Ekeler left guard for 8 yards (tackle by Cobie Durant and Bobby Wagner),1.47,2
1,10:30,2,2,LAC 46,0,0,Justin Herbert pass complete short left to Austin Ekeler for 1 yard (tackle by Bobby Wagner),2,1.42
1,9:52,3,1,LAC 47,0,0,"Joshua Kelley left tackle for no gain (tackle by Jalen Ramsey). Penalty on Donald Parham: Offensive Holding, 9 yards (accepted) (no play)",1.42,0.23
1,9:33,3,10,LAC 38,0,0,Justin Herbert pass incomplete deep left intended for Mike Williams,0.23,-0.85
1,9:27,4,10,LAC 38,0,0,"JK Scott punts 48 yards, fair catch by Brandon Powell at LA-14",-0.85,0.28
1,9:19,1,10,LAR 14,0,0,Cam Akers up the middle for 2 yards (tackle by Sebastian Joseph-Day and Christopher Hinton),-0.28,-0.51
1,8:42,2,8,LAR 16,0,0,Baker Mayfield pass complete short right to Brandon Powell for 3 yards (tackle by Sebastian Joseph-Day),-0.51,-0.8
1,7:59,3,5,LAR 19,0,0,Baker Mayfield scrambles left end for 6 yards (tackle by Alohi Gilman),-0.8,0.61
1,7:09,1,10,LAR 25,0,0,Baker Mayfield pass complete short right to Tyler Higbee for 4 yards (tackle by Drue Tranquill),0.61,0.6
1,6:24,2,6,LAR 29,0,0,Baker Mayfield pass complete short right to Tyler Higbee for 7 yards (tackle by Kenneth Murray and Drue Tranquill),0.6,1.33
1,5:44,1,10,LAR 36,0,0,Cam Akers left end for 42 yards (tackle by Kenneth Murray),1.33,4.11
1,4:54,1,10,LAC 22,0,0,Baker Mayfield pass complete short right to Tyler Higbee for no gain (tackle by Nasir Adderley),4.11,3.56
1,4:10,2,10,LAC 22,0,0,Baker Mayfield pass complete short left to Tutu Atwell for 6 yards (tackle by Bryce Callahan),3.56,3.74
1,3:30,3,4,LAC 16,0,0,Brandon Powell left guard for 6 yards (tackle by Asante Samuel),3.74,4.91
1,2:46,1,10,LAC 10,0,0,Cam Akers left tackle for 6 yards (tackle by Morgan Fox),4.91,5.34
1,2:07,2,4,LAC 4,0,0,Cam Akers left end for -1 yards (tackle by Morgan Fox and Michael Davis),5.34,4.26
1,1:17,3,5,LAC 5,0,0,Baker Mayfield pass incomplete short left intended for Tyler Higbee (defended by Michael Davis),4.26,3.01
1,1:13,4,5,LAC 5,3,0,Matt Gay 23 yard field goal good,3.01,3
1,1:09,,,LAR 35,3,0,"Matt Gay kicks off 65 yards, touchback.",0,0.61
1,1:09,1,10,LAC 25,3,0,Justin Herbert pass complete deep left to Mike Williams for 26 yards (tackle by Taylor Rapp),0.61,2.32
1,0:33,1,10,LAR 49,3,0,Joshua Kelley left end for 12 yards (tackle by Taylor Rapp),2.32,3.12
2,15:00,1,10,LAR 37,3,0,Austin Ekeler right end for 8 yards (tackle by Michael Hoecht and Nick Scott),3.12,3.65
2,14:28,2,2,LAR 29,3,0,Justin Herbert pass complete short right to Mike Williams for 19 yards (tackle by Taylor Rapp),3.65,4.91
2,13:47,1,10,LAR 10,3,6,"Austin Ekeler left guard for 10 yards, touchdown",4.91,7
2,13:40,,,LAR 15,3,7,Cameron Dicker kicks extra point good,0,0
2,13:40,,,LAC 35,3,7,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,13:40,1,10,LAR 25,3,7,Cam Akers up the middle for 3 yards (tackle by Drue Tranquill),0.61,0.47
2,12:56,2,7,LAR 28,3,7,Baker Mayfield pass complete deep right to Van Jefferson for 39 yards (tackle by Alohi Gilman),0.47,3.38
2,12:06,1,10,LAC 33,3,7,Cam Akers left guard for 6 yards (tackle by Drue Tranquill and Asante Samuel),3.38,3.65
2,11:21,2,4,LAC 27,3,7,Cam Akers left tackle for -2 yards (tackle by Drue Tranquill),3.65,2.68
2,10:32,3,6,LAC 29,3,7,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 12 yards (accepted)",2.68,0.53
2,10:32,4,18,LAC 41,3,7,Riley Dixon punts 31 yards downed by Christian Rozeboom,0.53,0.38
2,10:20,1,10,LAC 10,3,7,Joshua Kelley left guard for 3 yards (tackle by Ernest Jones),-0.38,-0.56
2,10:01,2,7,LAC 13,3,7,Justin Herbert pass incomplete short right intended for Joshua Kelley,-0.56,-1.07
2,9:58,3,7,LAC 13,3,7,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Bobby Wagner),-1.07,0.48
2,9:15,1,10,LAC 23,3,7,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Nick Scott),0.48,0.61
2,8:37,2,5,LAC 28,3,13,"Austin Ekeler right guard for 72 yards, touchdown",0.61,7
2,8:25,,,LAR 15,3,14,Cameron Dicker kicks extra point good,0,0
2,8:25,,,LAC 35,3,14,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,8:25,1,10,LAR 25,3,14,Baker Mayfield pass complete deep left to Van Jefferson for 16 yards (tackle by Asante Samuel),0.61,1.66
2,7:40,1,10,LAR 41,3,14,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)",1.66,1.33
2,7:15,1,15,LAR 36,3,14,Cam Akers left tackle for 9 yards (tackle by Michael Davis and Drue Tranquill),1.33,1.53
2,6:30,2,7,LAR 44,3,14,Cam Akers left guard for 3 yards (tackle by Kyle Van Noy and Morgan Fox),1.53,1.36
2,5:46,,,,,,Timeout #1 by Los Angeles Chargers,,
2,5:46,3,3,LAR 48,3,14,Baker Mayfield pass complete deep right to Van Jefferson for 22 yards (tackle by Nasir Adderley),1.36,3.58
2,5:01,1,10,LAC 30,3,14,Cam Akers left tackle for 7 yards (tackle by Ja'Sir Taylor and Nasir Adderley),3.58,3.98
2,4:17,2,3,LAC 23,3,14,Baker Mayfield pass incomplete short left intended for Brandon Powell (defended by Nasir Adderley),3.98,3.27
2,4:14,3,3,LAC 23,9,14,"Malcolm Brown up the middle for 23 yards, touchdown",3.27,7
2,4:09,,,LAC 15,10,14,Matt Gay kicks extra point good,0,0
2,4:09,,,LAR 35,10,14,"Matt Gay kicks off 65 yards, touchback.",0,0.61
2,4:09,1,10,LAC 25,10,14,Joshua Kelley right end for 7 yards (tackle by Ernest Jones),0.61,1.01
2,3:33,2,3,LAC 32,10,14,"Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Taylor Rapp). Penalty on Keir Thomas: Defensive Holding, 5 yards (declined)",1.01,1.53
2,3:12,1,10,LAC 39,10,14,Joshua Kelley left tackle for 1 yard (tackle by Nick Scott and Leonard Floyd),1.53,1.12
2,2:37,2,9,LAC 40,10,14,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant),1.12,1.49
2,2:00,3,1,LAC 48,10,14,Austin Ekeler right guard for 2 yards (tackle by Ernest Jones),1.49,2.26
2,1:30,1,10,LAC 50,10,14,Justin Herbert pass complete deep left to Mike Williams for 18 yards,2.26,3.45
2,1:25,1,10,LAR 32,10,14,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by Taylor Rapp),3.45,3.98
2,1:01,2,2,LAR 24,10,14,"Justin Herbert sacked by Jalen Ramsey for no gain. Justin Herbert fumbles (forced by Jalen Ramsey), recovered by Justin Herbert at LA-44 Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass incomplete short left intended for Mike Williams (defended by Jalen Ramsey)",3.98,3.27
2,0:58,3,2,LAR 24,10,14,Austin Ekeler left guard for 2 yards (tackle by Bobby Wagner and Ernest Jones),3.27,4.11
2,0:31,1,10,LAR 22,10,14,Justin Herbert pass incomplete deep left intended for Mike Williams,4.11,3.56
2,0:27,2,10,LAR 22,10,14,Justin Herbert pass incomplete short right intended for Keenan Allen,3.56,2.87
2,0:23,3,10,LAR 22,10,14,Justin Herbert pass incomplete deep right intended for Josh Palmer,2.87,1.99
2,0:18,4,10,LAR 22,10,17,Cameron Dicker 40 yard field goal good,1.99,3
2,0:14,,,LAC 35,10,17,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
2,0:14,1,10,LAR 25,10,17,Baker Mayfield kneels for -1 yards,0.61,-0.07
3,15:00,,,LAR 35,10,17,"Matt Gay kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,LAC 25,10,17,Justin Herbert pass complete short right to Austin Ekeler for 17 yards (tackle by Cobie Durant),0.61,1.73
3,14:26,1,10,LAC 42,10,17,Austin Ekeler right guard for 3 yards (tackle by Ernest Jones and Earnest Brown),1.73,1.52
3,13:45,2,8,LAC 45,10,17,Justin Herbert pass complete short right to Mike Williams for 14 yards (tackle by Troy Hill),1.52,2.85
3,13:13,1,10,LAR 41,10,17,Joshua Kelley right tackle for 7 yards (tackle by Michael Hoecht and Taylor Rapp),2.85,3.25
3,12:32,2,3,LAR 34,10,17,Austin Ekeler left end for 10 yards (tackle by Marquise Copeland),3.25,3.97
3,11:52,1,10,LAR 24,10,17,Joshua Kelley left tackle for 5 yards (tackle by Ernest Jones),3.97,4.12
3,11:14,2,5,LAR 19,10,17,Justin Herbert pass complete short left to Mike Williams for 4 yards (tackle by Jalen Ramsey),4.12,4.17
3,10:39,3,1,LAR 15,10,17,Justin Herbert up the middle for 2 yards (tackle by Bobby Brown),4.17,4.71
3,10:04,1,10,LAR 13,10,17,Joshua Kelley left guard for no gain (tackle by Michael Hoecht and Larrell Murchison),4.71,4.05
3,9:31,2,10,LAR 13,10,17,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Taylor Rapp and Ernest Jones),4.05,4.56
3,8:50,3,3,LAR 6,10,23,"Justin Herbert pass complete short middle to Gerald Everett for 6 yards, touchdown",4.56,7
3,8:46,,,LAR 15,10,24,Cameron Dicker kicks extra point good,0,0
3,8:46,,,LAC 35,10,24,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
3,8:46,1,10,LAR 25,10,24,Cam Akers left guard for 13 yards (tackle by Asante Samuel),0.61,1.47
3,8:06,1,10,LAR 38,10,24,Baker Mayfield pass complete deep left to Brycen Hopkins for 21 yards (tackle by Ja'Sir Taylor and Drue Tranquill),1.47,2.85
3,7:16,,,,,,Timeout #1 by Los Angeles Rams,,
3,7:16,1,10,LAC 41,10,24,Cam Akers right end for 2 yards (tackle by Sebastian Joseph-Day and Kenneth Murray),2.85,2.58
3,6:33,2,8,LAC 39,10,24,Baker Mayfield pass complete short right to Tutu Atwell for 4 yards (tackle by Michael Davis),2.58,2.41
3,6:14,3,4,LAC 35,10,24,"Baker Mayfield sacked by Kyle Van Noy for -4 yards. Baker Mayfield fumbles (forced by Kyle Van Noy), recovered by Kyle Van Noy at LAC-39",2.41,-1.53
3,6:09,1,10,LAC 39,10,24,Larry Rountree left guard for 4 yards (tackle by Michael Hoecht),1.53,1.53
3,5:34,2,6,LAC 43,10,24,Larry Rountree right guard for -3 yards (tackle by Marquise Copeland),1.53,0.43
3,5:14,3,9,LAC 40,10,24,Justin Herbert pass complete short right to Joshua Kelley for 1 yard (tackle by Troy Hill),0.43,-0.65
3,4:37,4,8,LAC 41,10,24,"JK Scott punts 36 yards, fair catch by Brandon Powell at LA-23",-0.65,-0.48
3,4:29,1,10,LAR 23,10,24,Cam Akers right tackle for 6 yards (tackle by Joey Bosa),0.48,0.74
3,3:47,2,4,LAR 29,10,24,Baker Mayfield pass complete short left to Cam Akers for 10 yards (tackle by Asante Samuel),0.74,1.53
3,2:59,1,10,LAR 39,10,24,"Penalty on Tyler Higbee: False Start, 5 yards (accepted) (no play)",1.53,1.2
3,2:34,1,15,LAR 34,10,24,Baker Mayfield scrambles right end for 3 yards (tackle by Drue Tranquill),1.2,0.72
3,1:52,2,12,LAR 37,10,24,Cam Akers up the middle for -3 yards (tackle by Drue Tranquill),0.72,-0.43
3,1:29,3,16,LAR 34,10,24,Baker Mayfield pass incomplete deep right intended for Tutu Atwell,-0.43,-1.11
3,1:22,4,15,LAR 34,10,24,"Riley Dixon punts 47 yards, returned by DeAndre Carter for 11 yards (tackle by Nick Scott)",-1.11,-0.94
3,1:13,1,10,LAC 30,10,24,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Nick Scott),0.94,0.66
3,0:53,2,8,LAC 32,10,24,Justin Herbert pass complete deep left to Keenan Allen for 28 yards (tackle by Cobie Durant),0.66,2.92
3,0:18,1,10,LAR 40,10,24,Austin Ekeler right guard for 4 yards (tackle by Russ Yeast),2.92,2.91
4,15:00,2,6,LAR 36,10,24,Justin Herbert pass complete short left to Austin Ekeler for 14 yards (tackle by Bobby Wagner),2.91,4.11
4,14:17,1,10,LAR 22,10,24,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant),4.11,4.85
4,13:42,2,2,LAR 14,10,24,Joshua Kelley right guard for 8 yards (tackle by Taylor Rapp and Jalen Ramsey),4.85,5.83
4,13:01,1,6,LAR 6,10,24,Austin Ekeler right guard for 3 yards (tackle by Michael Hoecht),5.83,5.53
4,12:20,2,3,LAR 3,10,24,Justin Herbert pass incomplete short right intended for DeAndre Carter,5.53,4.72
4,12:16,3,3,LAR 3,10,30,"Justin Herbert pass complete short middle to Donald Parham for 3 yards, touchdown",4.72,7
4,12:12,,,LAR 15,10,31,Cameron Dicker kicks extra point good,0,0
4,12:12,,,LAC 35,10,31,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
4,12:12,1,10,LAR 25,10,31,Cam Akers left guard for 7 yards (tackle by Khalil Mack),0.61,1.01
4,11:31,2,3,LAR 32,10,31,Baker Mayfield pass incomplete short right intended for Tutu Atwell,1.01,0.3
4,11:26,3,3,LAR 32,10,31,Baker Mayfield pass incomplete deep right intended for Lance McCutcheon,0.3,-1.24
4,11:21,4,3,LAR 32,10,31,"Riley Dixon punts 51 yards, returned by DeAndre Carter for 9 yards (tackle by Kyren Williams)",-1.24,-0.67
4,11:12,1,10,LAC 26,10,31,Larry Rountree right end for 2 yards (tackle by Troy Hill),0.67,0.4
4,10:31,2,8,LAC 28,10,31,Chase Daniel pass complete short left to DeAndre Carter for 6 yards (tackle by Jonah Williams),0.4,0.5
4,9:56,3,2,LAC 34,10,31,Joshua Kelley left end for 2 yards (tackle by Leonard Floyd),0.5,1.33
4,9:20,1,10,LAC 36,10,31,"Larry Rountree left tackle for no gain (tackle by Ernest Jones). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted) (no play)",1.33,0.67
4,8:50,1,20,LAC 26,10,31,Larry Rountree right end for 5 yards (tackle by Jalen Ramsey and Daniel Hardy),0.67,0.12
4,8:07,2,15,LAC 31,10,31,Larry Rountree right guard for 5 yards (tackle by Greg Gaines),0.12,0.1
4,7:24,3,10,LAC 36,10,31,Chase Daniel pass complete short left to DeAndre Carter for 8 yards (tackle by Bobby Wagner and Cobie Durant),0.1,-0.46
4,6:40,4,2,LAC 44,10,31,"JK Scott punts 44 yards, fair catch by Brandon Powell at LA-12",-0.46,0.35
4,6:33,1,10,LAR 12,10,31,Cam Akers right guard for 1 yard (tackle by Joey Bosa),-0.35,-0.7
4,6:12,2,9,LAR 13,10,31,"Baker Mayfield pass incomplete short right intended for Tyler Higbee. Penalty on Ty Nsekhe: Offensive Holding, 10 yards (offset) . Penalty on Raheem Layne: Defensive Holding, 5 yards (offset) (no play)",-0.7,-0.7
4,6:04,2,9,LAR 13,10,31,Baker Mayfield pass incomplete short right intended for Tutu Atwell (defended by Ja'Sir Taylor),-0.7,-1.3
4,5:59,3,9,LAR 13,10,31,Baker Mayfield sacked by Sebastian Joseph-Day for -10 yards,-1.3,-2.49
4,5:18,4,19,LAR 3,10,31,"Riley Dixon punts 57 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Hardy and Christian Rozeboom)",-2.49,-1.99
4,5:05,1,10,LAC 46,10,31,Larry Rountree left tackle for 3 yards (tackle by Michael Hoecht),1.99,1.86
4,4:22,2,7,LAC 49,10,31,Larry Rountree left guard for -2 yards (tackle by Michael Hoecht and Ernest Jones),1.86,0.89
4,3:43,3,9,LAC 47,10,31,Chase Daniel pass complete short right to Larry Rountree for 13 yards (tackle by Taylor Rapp),0.89,2.92
4,2:55,1,10,LAR 40,10,31,Larry Rountree left guard for 1 yard (tackle by Larrell Murchison),2.92,2.51
4,2:10,2,9,LAR 39,10,31,Larry Rountree right guard for no gain (tackle by Bobby Wagner),2.51,1.82
4,2:00,3,9,LAR 39,10,31,Larry Rountree right end for no gain (tackle by Nick Scott),1.82,0.66
4,1:12,4,9,LAR 39,10,31,"Penalty on LAC: Delay of Game, 5 yards (declined)",0.66,0.66
4,1:12,4,9,LAR 39,10,31,JK Scott punts 33 yards downed by Deane Leonard,0.66,0.38
4,1:00,1,10,LAR 6,10,31,Kyren Williams right end for 3 yards (tackle by JT Woods and Ja'Sir Taylor),-0.38,-0.56
4,0:26,2,7,LAR 9,10,31,Kyren Williams left guard for 3 yards (tackle by JT Woods),-0.56,-0.72
