Quarter,Time,Down,ToGo,Location,LAC,JAX,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 62 yards, returned by Jamal Agnew for 21 yards (tackle by Alohi Gilman)",0,0.54
1,14:56,1,10,JAX 24,0,0,Travis Etienne up the middle for 4 yards (tackle by Morgan Fox and Kenneth Murray),0.54,0.54
1,14:25,2,6,JAX 28,0,0,Trevor Lawrence pass (defended by Sebastian Joseph-Day) intended for Christian Kirk is intercepted by Drue Tranquill at JAC-33 and returned for 15 yards (tackle by Marvin Jones and Walker Little),0.54,-4.37
1,14:13,1,10,JAX 18,0,0,Justin Herbert pass complete short middle to Donald Parham for 5 yards (tackle by Devin Lloyd),4.37,4.61
1,13:40,2,5,JAX 13,6,0,"Austin Ekeler right guard for 13 yards, touchdown",4.61,7
1,13:33,,,JAX 15,7,0,Cameron Dicker kicks extra point good,0,0
1,13:33,,,LAC 35,7,0,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,13:33,1,10,JAX 25,7,0,Trevor Lawrence pass complete short right to Evan Engram for 16 yards (tackle by Derwin James),0.61,1.66
1,12:58,1,10,JAX 41,7,0,Travis Etienne right guard for 4 yards (tackle by Derwin James),1.66,1.66
1,12:24,2,6,JAX 45,7,0,Trevor Lawrence pass complete short left to Evan Engram for 7 yards (tackle by Khalil Mack and Alohi Gilman),1.66,2.39
1,11:49,1,10,LAC 48,7,0,Trevor Lawrence pass incomplete short right intended for Christian Kirk,2.39,1.85
1,11:44,2,10,LAC 48,7,0,Travis Etienne left end for 12 yards (tackle by Michael Davis),1.85,3.18
1,11:04,1,10,LAC 36,7,0,Trevor Lawrence pass incomplete short left intended for Zay Jones,3.18,2.64
1,10:58,2,10,LAC 36,7,0,Trevor Lawrence pass incomplete short middle intended for Christian Kirk (defended by Bryce Callahan),2.64,1.95
1,10:54,3,10,LAC 36,7,0,Trevor Lawrence pass complete short left to Zay Jones for 3 yards (tackle by Kenneth Murray),1.95,1.15
1,10:08,4,7,LAC 33,7,0,Trevor Lawrence pass intended for Zay Jones is intercepted by Asante Samuel at LAC-23 and returned for 16 yards (tackle by Evan Engram),1.15,-1.53
1,10:02,1,10,LAC 39,7,0,Justin Herbert pass complete short left to DeAndre Carter for 3 yards,1.53,1.39
1,9:30,2,7,LAC 42,7,0,Justin Herbert pass complete short right to Gerald Everett for 23 yards (tackle by Tyson Campbell),1.39,3.25
1,8:47,1,10,JAX 35,7,0,Justin Herbert pass incomplete deep right intended for Josh Palmer,3.25,2.7
1,8:41,2,10,JAX 35,7,0,Austin Ekeler right guard for no gain (tackle by DaVon Hamilton and Josh Allen),2.7,2.01
1,8:19,3,10,JAX 35,7,0,Justin Herbert pass complete short middle to DeAndre Carter for 14 yards (tackle by Rayshawn Jenkins and Foyesade Oluokun),2.01,4.17
1,7:40,1,10,JAX 21,7,0,Joshua Kelley left end for 5 yards (tackle by Foyesade Oluokun and Adam Gotsis),4.17,4.37
1,7:06,2,5,JAX 16,7,0,Justin Herbert pass incomplete short left intended for Josh Palmer,4.37,3.63
1,7:01,3,5,JAX 16,7,0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Josh Allen),3.63,4.91
1,6:24,1,10,JAX 10,7,0,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Devin Lloyd),4.91,5.34
1,5:41,2,4,JAX 4,7,0,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Arden Key),5.34,4.49
1,5:37,3,4,JAX 4,7,0,Justin Herbert pass incomplete short middle intended for DeAndre Carter (defended by Devin Lloyd),4.49,3.03
1,5:33,4,4,JAX 4,10,0,Cameron Dicker 22 yard field goal good,3.03,3
1,5:30,,,LAC 35,10,0,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,5:30,1,10,JAX 25,10,0,Travis Etienne left end for 1 yard (tackle by Breiden Fehoko),0.61,0.2
1,4:54,2,9,JAX 26,10,0,Trevor Lawrence pass incomplete short right intended for Zay Jones (defended by Asante Samuel),0.2,-0.49
1,4:48,3,9,JAX 26,10,0,Trevor Lawrence pass incomplete short middle,-0.49,-1.63
1,4:44,4,9,JAX 26,10,0,Logan Cooke punts 32 yards downed by Shaquille Quarterman,-1.63,-1.73
1,4:33,1,10,LAC 42,10,0,Joshua Kelley up the middle for -1 yards (tackle by Roy Robertson-Harris),1.73,1.05
1,3:56,2,11,LAC 41,10,0,Justin Herbert pass complete short middle to Gerald Everett for 6 yards (tackle by Chad Muma and Foyesade Oluokun),1.05,1.16
1,3:14,3,5,LAC 47,10,0,Justin Herbert pass incomplete short left intended for Josh Palmer (defended by Roy Robertson-Harris),1.16,-0.26
1,3:10,4,5,LAC 47,10,0,JK Scott punts 39 yards downed by Chris Rumph,-0.26,0.28
1,2:58,1,10,JAX 14,10,0,Trevor Lawrence pass incomplete deep right intended for Marvin Jones (defended by Asante Samuel),-0.28,-0.75
1,2:51,2,10,JAX 14,10,0,Travis Etienne up the middle for 5 yards (tackle by Sebastian Joseph-Day),-0.75,-0.8
1,2:09,3,5,JAX 19,10,0,Trevor Lawrence pass intended for Evan Engram is intercepted by Asante Samuel at JAC-20 and returned for 4 yards (tackle by Luke Fortner),-0.8,-4.51
1,2:02,1,10,JAX 16,10,0,Austin Ekeler left end for 7 yards (tackle by Andre Cisco),4.51,5.16
1,1:30,2,3,JAX 9,10,0,Austin Ekeler left guard for 3 yards (tackle by Devin Lloyd and Foyesade Oluokun),5.16,5.83
1,0:49,1,6,JAX 6,16,0,"Austin Ekeler left end for 6 yards, touchdown",5.83,7
1,0:44,,,JAX 15,17,0,Cameron Dicker kicks extra point good,0,0
1,0:44,,,LAC 35,17,0,"Cameron Dicker kicks off 65 yards, returned by Jamal Agnew for 25 yards (tackle by Zander Horvath and Cameron Dicker). Penalty on Adam Gotsis: Defensive Holding, 10 yards (accepted)",0,-0.22
1,0:37,1,10,JAX 15,17,0,Trevor Lawrence pass complete short right to Zay Jones for 4 yards (tackle by Asante Samuel),-0.22,-0.11
2,15:00,2,6,JAX 19,17,0,Travis Etienne right end for 3 yards (tackle by Drue Tranquill),-0.11,-0.51
2,14:23,3,3,JAX 22,17,0,Trevor Lawrence sacked by and Sebastian Joseph-Day for -6 yards and Kenneth Murray for -6 yards,-0.51,-2.39
2,13:46,4,9,JAX 16,17,0,Logan Cooke punts 46 yards out of bounds,-2.39,-1.47
2,13:36,1,10,LAC 38,17,0,Justin Herbert pass complete short right to Donald Parham for 2 yards (tackle by Josh Allen),1.47,1.19
2,12:53,2,8,LAC 40,17,0,Joshua Kelley up the middle for 3 yards (tackle by Chad Muma and Rayshawn Jenkins),1.19,0.89
