Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,KAN 25,0,0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Drue Tranquill),0.61,0.74
1,14:31,2,5,KAN 30,0,0,Clyde Edwards-Helaire up the middle for 4 yards (tackle by Sebastian Joseph-Day),0.74,0.56
1,13:51,3,1,KAN 34,0,0,Michael Burton left guard for 6 yards (tackle by Morgan Fox),0.56,1.6
1,13:20,1,10,KAN 40,0,0,Patrick Mahomes pass complete short left to Clyde Edwards-Helaire for 10 yards (tackle by Drue Tranquill and Derwin James),1.6,2.26
1,12:41,1,10,KAN 50,0,0,Patrick Mahomes pass complete short left to Michael Burton for 2 yards (tackle by Kenneth Murray),2.26,1.98
1,12:07,2,8,LAC 48,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Derwin James),1.98,2.08
1,11:31,3,2,LAC 42,0,0,Mecole Hardman right end for -4 yards (tackle by Joey Bosa),2.08,0.2
1,10:47,4,6,LAC 46,0,0,"Tommy Townsend punts 46 yards, touchback.",0.2,-0.28
1,10:39,1,10,LAC 20,0,0,Justin Herbert pass complete short left to Mike Williams for 9 yards (tackle by L'Jarius Sneed),0.28,0.95
1,10:11,2,1,LAC 29,0,0,Justin Herbert pass complete short left to Mike Williams for 15 yards (tackle by Rashad Fenton),0.95,1.86
1,9:47,1,10,LAC 44,0,0,Justin Herbert pass incomplete short left,1.86,1.32
1,9:42,2,10,LAC 44,0,0,Austin Ekeler left guard for 8 yards (tackle by Justin Reid),1.32,1.69
1,9:04,3,2,KAN 48,0,0,Justin Herbert pass complete short right to DeAndre Carter for 12 yards (tackle by L'Jarius Sneed),1.69,3.18
1,8:26,1,10,KAN 36,0,0,Joshua Kelley right tackle for 7 yards (tackle by Carlos Dunlap),3.18,3.58
1,7:46,2,3,KAN 29,0,0,Justin Herbert pass incomplete short right intended for Josh Palmer,3.58,2.87
1,7:40,3,3,KAN 29,0,0,"Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on Rashad Fenton: Defensive Pass Interference, 8 yards (accepted) (no play)",2.87,4.17
1,7:35,1,10,KAN 21,0,0,Justin Herbert pass incomplete deep right intended for Mike Williams,4.17,3.63
1,7:30,2,10,KAN 21,0,0,Justin Herbert pass complete short left to Austin Ekeler for -3 yards (tackle by Willie Gay),3.63,2.54
1,6:48,3,13,KAN 24,0,0,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Bryan Cook),2.54,2.69
