Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Taylor Bertolet kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,CLE 25,0,0,Nick Chubb right guard for 1 yard (tackle by Austin Johnson and Drue Tranquill),0.61,0.2
1,14:21,2,9,CLE 26,0,0,Jacoby Brissett pass complete short right to Amari Cooper for 10 yards (tackle by J.C. Jackson),0.2,1.33
1,13:34,1,10,CLE 36,0,0,Nick Chubb right tackle for 14 yards (tackle by Derwin James and Alohi Gilman),1.33,2.26
1,13:00,1,10,CLE 50,0,0,Jacoby Brissett scrambles up the middle for 9 yards (tackle by J.C. Jackson),2.26,2.93
1,12:12,2,1,LAC 41,0,6,"Nick Chubb right tackle for 41 yards, touchdown",2.93,7
1,12:01,,,LAC 15,0,7,Cade York kicks extra point good,0,0
1,12:01,,,CLE 35,0,7,"Cade York kicks off 65 yards, returned by DeAndre Carter for 17 yards (tackle by D'Anthony Bell and Ronnie Harrison)",0,-0.06
1,11:57,1,10,LAC 17,0,7,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Jeremiah Owusu-Koramoah),-0.06,0.81
1,11:27,1,10,LAC 28,0,7,Justin Herbert pass incomplete short right,0.81,0.26
1,11:27,2,10,LAC 28,0,7,Austin Ekeler right guard for 8 yards (tackle by Jacob Phillips),0.26,0.56
1,10:50,3,2,LAC 35,0,7,Justin Herbert scrambles left guard for 1 yard (tackle by Grant Delpit),0.56,-0.98
1,10:50,4,1,LAC 36,0,7,"Penalty on Grant Delpit: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.98,2.32
1,10:26,1,10,CLE 49,0,7,Joshua Kelley right guard for 1 yard (tackle by Jacob Phillips and Perrion Winfrey),2.32,1.92
1,9:54,2,9,CLE 48,0,7,Justin Herbert pass complete short right to Mike Williams for 12 yards (tackle by Denzel Ward),1.92,3.18
1,9:23,1,10,CLE 36,0,7,Justin Herbert pass incomplete short right intended for Tre' McKitty (defended by Perrion Winfrey),3.18,2.64
1,9:19,2,10,CLE 36,0,7,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by John Johnson),2.64,3.01
1,9:00,3,2,CLE 28,0,7,Justin Herbert pass incomplete short right intended for Josh Palmer,3.01,1.7
1,8:56,4,2,CLE 28,0,7,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Denzel Ward),1.7,-0.81
1,8:52,1,10,CLE 28,0,7,Jacoby Brissett pass complete deep left to Amari Cooper for 20 yards (tackle by Asante Samuel),0.81,2.13
1,8:16,1,10,CLE 48,0,7,Kareem Hunt right tackle for 2 yards (tackle by Morgan Fox),2.13,1.85
1,7:36,2,8,LAC 50,0,7,Kareem Hunt right guard for 17 yards (tackle by Alohi Gilman),1.85,3.38
1,6:54,1,10,LAC 33,0,7,Kareem Hunt left guard for 4 yards (tackle by Christian Covington),3.38,3.24
1,6:40,2,7,LAC 30,0,7,"Penalty on Kenneth Murray: Unsportsmanlike Conduct / Defense, 15 yards (offset) Penalty on Jedrick Wills: Unsportsmanlike Conduct / Offense, 15 yards (offset) (no play)",3.24,3.38
