Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,LAC 25,0,0,"Justin Herbert pass incomplete deep left intended for Josh Palmer. Penalty on Damarri Mathis: Defensive Pass Interference, 30 yards (accepted) (no play)",0.61,2.59
1,14:54,1,10,DEN 45,0,0,Austin Ekeler left tackle for 8 yards (tackle by Kareem Jackson),2.59,3.12
1,14:20,2,2,DEN 37,0,0,Justin Herbert pass incomplete short right,3.12,2.41
1,14:14,3,2,DEN 37,0,0,Justin Herbert pass incomplete short right intended for DeAndre Carter,2.41,0.79
1,14:10,4,2,DEN 37,0,0,Justin Herbert pass complete short right to Michael Bandy for 4 yards (tackle by Alex Singleton),0.79,3.38
1,13:28,1,10,DEN 33,0,0,Austin Ekeler up the middle for -1 yards (tackle by Baron Browning and Dre'Mont Jones),3.38,2.7
1,12:51,2,11,DEN 34,0,0,Justin Herbert pass incomplete short left intended for Mike Williams,2.7,2.01
1,12:45,3,11,DEN 34,0,0,"Penalty on Will Clapp: False Start, 5 yards (accepted) (no play)",2.01,1.35
1,12:45,3,16,DEN 39,0,0,Justin Herbert pass incomplete deep right intended for Michael Bandy,1.35,0.66
1,12:39,4,16,DEN 39,0,0,"JK Scott punts 18 yards, fair catch by Montrell Washington at DEN-21",0.66,-0.34
1,12:31,1,10,DEN 21,0,0,"Melvin Gordon left guard for 4 yards. Penalty on Lloyd Cushenberry: Offensive Holding, 10 yards (accepted) (no play)",0.34,-0.72
1,12:12,1,20,DEN 11,0,0,Melvin Gordon right tackle for 2 yards (tackle by Khalil Mack and Morgan Fox),-0.72,-1.35
1,11:31,2,18,DEN 13,0,0,Russell Wilson pass complete short middle to Courtland Sutton for 9 yards (tackle by Kenneth Murray and Derwin James),-1.35,-0.76
1,10:49,3,9,DEN 22,0,0,"Penalty on Cameron Fleming: False Start, 5 yards (accepted) (no play)",-0.76,-1.59
1,10:21,3,14,DEN 17,0,0,"Russell Wilson pass incomplete deep left intended for Courtland Sutton. Penalty on J.C. Jackson: Defensive Pass Interference, 21 yards (accepted) (no play)",-1.59,1.47
1,10:16,1,10,DEN 38,0,0,Russell Wilson pass complete short middle to Kendall Hinton for 8 yards (tackle by Derwin James and Chris Rumph),1.47,2
1,9:45,2,2,DEN 46,0,0,Russell Wilson pass complete deep right to Eric Tomlinson for 16 yards (tackle by Derrek Tuszka),2,3.05
1,9:20,1,10,LAC 38,0,0,Russell Wilson pass complete short left to Andrew Beck for 7 yards (tackle by Chris Rumph),3.05,3.45
1,8:44,2,3,LAC 31,0,0,Melvin Gordon up the middle for 2 yards (tackle by Drue Tranquill),3.45,2.94
1,7:53,3,2,LAC 29,0,0,Russell Wilson sacked by Khalil Mack for -4 yards,2.94,1.16
1,7:25,4,6,LAC 33,3,0,Brandon McManus 51 yard field goal good,1.16,3
1,7:20,,,DEN 35,3,0,"Brandon McManus kicks off 63 yards, returned by DeAndre Carter for 27 yards (tackle by Essang Bassey)",0,0.87
1,7:14,1,10,LAC 29,3,0,"Austin Ekeler right tackle for no gain. Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",0.87,0.11
1,6:53,1,20,LAC 19,3,0,Justin Herbert pass complete short left to Austin Ekeler for 9 yards (tackle by Alex Singleton and Mike Purcell),0.11,0.19
1,6:29,2,11,LAC 28,3,0,Justin Herbert pass incomplete short middle intended for Josh Palmer,0.19,-0.49
1,6:23,3,11,LAC 28,3,0,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Baron Browning),-0.49,-1.11
1,5:42,4,5,LAC 34,3,0,"JK Scott punts 52 yards, recovered by Montrell Washington at DEN-16",-1.11,0.14
1,5:30,1,10,DEN 16,3,0,Russell Wilson pass complete short left to Latavius Murray for -2 yards (tackle by Kyle Van Noy),-0.14,-0.89
1,4:59,2,12,DEN 14,3,0,Latavius Murray up the middle for 8 yards (tackle by Derwin James),-0.89,-0.57
1,4:21,3,4,DEN 22,3,0,Russell Wilson pass complete short left to Greg Dulcich for 5 yards (tackle by Derwin James),-0.57,0.74
1,4:03,1,10,DEN 27,3,0,Russell Wilson pass complete short right to Montrell Washington for no gain (tackle by Khalil Mack),0.74,0.2
1,3:24,2,10,DEN 27,3,0,Russell Wilson pass complete short left to KJ Hamler for -3 yards (tackle by Bryce Callahan),0.2,-0.89
1,2:40,3,13,DEN 24,3,0,Russell Wilson pass complete deep right to Jerry Jeudy for 37 yards (tackle by Alohi Gilman),-0.89,2.98
1,1:57,1,10,LAC 39,9,0,"Russell Wilson pass complete deep right to Greg Dulcich for 39 yards, touchdown",2.98,7
1,1:49,,,LAC 15,10,0,Brandon McManus kicks extra point good,0,0
1,1:49,,,DEN 35,10,0,"Brandon McManus kicks off 65 yards, returned by DeAndre Carter for 18 yards (tackle by Essang Bassey and P.J. Locke)",0,0.04
1,1:45,1,10,LAC 18,10,0,Justin Herbert pass complete short middle to Sony Michel for 3 yards (tackle by Alex Singleton and Jonas Griffith),0.04,0.01
1,1:03,2,7,LAC 21,10,0,Justin Herbert pass complete short left to Austin Ekeler for 8 yards (tackle by Alex Singleton),0.01,0.87
1,0:24,1,10,LAC 29,10,0,Justin Herbert pass complete deep right to Donald Parham for 24 yards (tackle by Kareem Jackson),0.87,2.46
2,15:00,1,10,DEN 47,10,0,Austin Ekeler left tackle for 2 yards (tackle by Alex Singleton),2.46,2.18
2,14:23,2,8,DEN 45,10,0,Justin Herbert scrambles left end for 4 yards (tackle by Jonas Griffith),2.18,2.01
2,13:54,3,4,DEN 41,10,0,Justin Herbert pass complete short middle to Josh Palmer for 6 yards (tackle by Alex Singleton),2.01,3.25
2,13:16,1,10,DEN 35,10,0,Justin Herbert pass incomplete deep right intended for Mike Williams (defended by Patrick Surtain),3.25,2.7
2,13:12,2,10,DEN 35,10,0,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Justin Simmons),2.7,2.68
2,12:31,3,5,DEN 30,10,0,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by D.J. Jones),2.68,3.97
2,11:50,1,10,DEN 24,10,0,Sony Michel right guard for no gain (tackle by Bradley Chubb),3.97,3.43
2,11:17,2,10,DEN 24,10,0,Justin Herbert pass complete short left to DeAndre Carter for 5 yards (tackle by Jonas Griffith),3.43,3.41
2,10:37,3,5,DEN 19,10,0,Justin Herbert pass complete short left to Gerald Everett for 5 yards (tackle by Damarri Mathis),3.41,4.65
2,10:00,1,10,DEN 14,10,0,Austin Ekeler right guard for no gain (tackle by Alex Singleton and Jonas Griffith),4.65,4
2,9:41,2,10,DEN 14,10,0,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Alex Singleton),4,4.73
2,9:16,3,2,DEN 6,10,6,"Austin Ekeler up the middle for 6 yards, touchdown",4.73,7
2,9:09,,,DEN 15,10,7,Dustin Hopkins kicks extra point good,0,0
2,9:09,,,LAC 35,10,7,"JK Scott kicks off 62 yards, returned by Montrell Washington for 26 yards (tackle by Alohi Gilman and Troy Reeder)",0,0.87
2,9:01,1,10,DEN 29,10,7,Russell Wilson scrambles right end for 1 yard (tackle by Kenneth Murray),0.87,0.46
2,8:27,2,9,DEN 30,10,7,Melvin Gordon right tackle for 4 yards (tackle by Drue Tranquill and Kenneth Murray),0.46,0.3
2,7:42,3,5,DEN 34,10,7,Russell Wilson pass incomplete short left intended for Mike Boone (defended by Khalil Mack),0.3,-1.11
2,7:37,4,5,DEN 34,10,7,"Corliss Waitman punts 54 yards, fair catch by DeAndre Carter at LAC-12",-1.11,0.35
2,7:29,1,10,LAC 12,10,7,Justin Herbert pass complete short left to Austin Ekeler for 3 yards (tackle by Dre'Mont Jones),-0.35,-0.5
2,7:04,2,7,LAC 15,10,7,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by K'Waun Williams and Damarri Mathis),-0.5,-0.37
2,6:24,3,1,LAC 21,10,7,Sony Michel right end for 4 yards (tackle by Alex Singleton and Bradley Chubb),-0.37,0.61
2,5:46,1,10,LAC 25,10,7,Sony Michel right tackle for 4 yards (tackle by Jonathon Cooper),0.61,0.6
2,5:07,2,6,LAC 29,10,7,Justin Herbert sacked by Matt Henningsen for -7 yards,0.6,-1.02
2,4:22,3,13,LAC 22,10,7,"Justin Herbert pass incomplete deep right intended for Josh Palmer. Penalty on Damarri Mathis: Defensive Pass Interference, 36 yards (accepted) (no play)",-1.02,2.79
2,4:13,1,10,DEN 42,10,7,"Justin Herbert pass complete short middle to Austin Ekeler for no gain. Penalty on Zion Johnson: Offensive Holding, 10 yards (accepted) (no play)",2.79,2.13
2,3:56,1,20,LAC 48,10,7,Justin Herbert pass complete short right to Donald Parham for 17 yards (tackle by Justin Simmons),2.13,3.19
2,3:23,2,3,DEN 35,10,7,Austin Ekeler right end for 1 yard (tackle by Damarri Mathis),3.19,2.61
2,2:46,3,2,DEN 34,10,7,"Justin Herbert pass incomplete short middle intended for DeAndre Carter. Penalty on Damarri Mathis: Defensive Pass Interference, 11 yards (accepted) (no play)",2.61,4.04
2,2:41,1,10,DEN 23,10,7,Justin Herbert pass complete short left to Josh Palmer for 5 yards (tackle by Alex Singleton and Kareem Jackson),4.04,4.21
2,2:00,2,5,DEN 18,10,7,Sony Michel up the middle for 2 yards (tackle by Dre'Mont Jones),4.21,3.85
2,1:51,,,,,,Timeout #1 by Denver Broncos,,
2,1:51,3,3,DEN 16,10,7,Austin Ekeler left end for 4 yards (tackle by Bradley Chubb and Kareem Jackson),3.85,4.78
2,1:16,1,10,DEN 12,10,7,Justin Herbert pass complete short right to Josh Palmer for no gain (tackle by Damarri Mathis and Kareem Jackson),4.78,4.1
2,1:05,,,,,,Timeout #2 by Denver Broncos,,
2,1:05,2,10,DEN 12,10,7,Justin Herbert sacked by Baron Browning for -7 yards,4.1,2.61
2,1:01,,,,,,Timeout #3 by Denver Broncos,,
2,1:01,3,17,DEN 19,10,7,Justin Herbert pass incomplete short middle intended for Austin Ekeler (defended by Baron Browning),2.61,2.18
2,0:57,4,17,DEN 19,10,10,Dustin Hopkins 37 yard field goal good,2.18,3
2,0:53,,,LAC 35,10,10,"JK Scott kicks off 65 yards, touchback.",0,0.61
2,0:53,1,10,DEN 25,10,10,Russell Wilson pass incomplete short left intended for Jerry Jeudy,0.61,0.06
2,0:50,2,10,DEN 25,10,10,Russell Wilson pass complete deep right to KJ Hamler for 47 yards (tackle by Derwin James),0.06,3.71
2,0:27,1,10,LAC 28,10,10,Russell Wilson pass complete short left to Jerry Jeudy for 10 yards (tackle by Bryce Callahan),3.71,4.37
2,0:22,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:22,1,10,LAC 18,10,10,"Russell Wilson pass incomplete deep right intended for Jerry Jeudy. Penalty on Morgan Fox: Roughing the Passer, 9 yards (accepted) (no play)",4.37,5.14
2,0:17,1,9,LAC 9,10,10,Russell Wilson pass incomplete short right intended for Mike Boone,5.14,4.38
2,0:12,2,9,LAC 9,10,10,Russell Wilson pass incomplete short left intended for Jerry Jeudy,4.38,3.36
2,0:07,3,9,LAC 9,10,10,Russell Wilson pass incomplete short middle intended for Greg Dulcich,3.36,2.83
2,0:05,4,9,LAC 9,13,10,Brandon McManus 27 yard field goal good,2.83,3
3,15:00,,,LAC 35,13,10,"JK Scott kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,DEN 25,13,10,Latavius Murray left tackle for 8 yards (tackle by Sebastian Joseph-Day and Kyle Van Noy),0.61,1.14
3,14:21,2,2,DEN 33,13,10,Latavius Murray left tackle for no gain (tackle by Kenneth Murray),1.14,0.43
3,13:45,3,2,DEN 33,13,10,Russell Wilson pass incomplete short right,0.43,-1.18
3,13:39,4,2,DEN 33,13,10,"Corliss Waitman punts 58 yards, returned by DeAndre Carter for 19 yards (tackle by Mitchell Fraboni)",-1.18,-0.81
3,13:27,1,10,LAC 28,13,10,Austin Ekeler up the middle for 11 yards (tackle by Damarri Mathis),0.81,1.53
3,12:50,1,10,LAC 39,13,10,Justin Herbert pass complete short left to Josh Palmer for 5 yards (tackle by Jonas Griffith),1.53,1.66
3,12:14,2,5,LAC 44,13,10,"Austin Ekeler right tackle for no gain. Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted) (no play)",1.66,0.31
3,11:54,2,15,LAC 34,13,10,Justin Herbert pass complete short right to Josh Palmer for 14 yards (tackle by K'Waun Williams and Kareem Jackson),0.31,1.49
3,11:28,3,1,LAC 48,13,10,Austin Ekeler right guard for 2 yards (tackle by Justin Simmons and Dre'Mont Jones),1.49,2.26
3,10:51,1,10,LAC 50,13,10,"Justin Herbert pass incomplete deep right intended for Josh Palmer. Penalty on Bradley Chubb: Roughing the Passer, 15 yards (accepted) (no play)",2.26,3.25
3,10:44,1,10,DEN 35,13,10,Justin Herbert pass complete short right to Josh Palmer for 14 yards,3.25,4.17
3,10:05,1,10,DEN 21,13,10,Sony Michel right tackle for 6 yards (tackle by Jonas Griffith),4.17,4.55
3,9:32,2,4,DEN 15,13,10,Sony Michel up the middle for 3 yards (tackle by Nik Bonitto and Mike Purcell),4.55,4.49
3,9:14,3,1,DEN 12,13,10,Justin Herbert pass incomplete short right intended for Josh Palmer (defended by DeShawn Williams),4.49,2.78
3,9:12,4,1,DEN 12,13,13,Dustin Hopkins 31 yard field goal good,2.78,3
3,9:08,,,LAC 35,13,13,"JK Scott kicks off 65 yards, touchback.",0,0.61
3,9:08,1,10,DEN 25,13,13,Russell Wilson pass incomplete deep middle intended for Jerry Jeudy,0.61,0.06
3,9:03,2,10,DEN 25,13,13,Latavius Murray right guard for 5 yards (tackle by Drue Tranquill and Khalil Mack),0.06,0.04
3,8:21,3,5,DEN 30,13,13,Russell Wilson pass complete short left to Courtland Sutton for 5 yards (tackle by Michael Davis),0.04,1.27
3,7:51,1,10,DEN 35,13,13,Latavius Murray left end for 7 yards (tackle by Drue Tranquill),1.27,1.67
