Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
,,,,,,,"Chargers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
1,15:00,1,10,ATL 25,0,0,Marcus Mariota pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Sebastian Joseph-Day),0.61,1.28
1,14:23,2,1,ATL 34,0,0,Cordarrelle Patterson right end for 7 yards (tackle by Austin Johnson),1.28,1.66
1,13:40,1,10,ATL 41,0,0,Tyler Allgeier right end for 44 yards (tackle by Nasir Adderley and Asante Samuel),1.66,4.58
1,12:48,1,10,LAC 15,0,0,Marcus Mariota right end for 6 yards (tackle by Michael Davis),4.58,5.03
1,12:07,2,4,LAC 9,0,0,Marcus Mariota pass complete short left to MyCole Pruitt for 6 yards (tackle by Asante Samuel),5.03,6.51
1,11:24,1,3,LAC 3,0,0,Marcus Mariota pass incomplete short right intended for Drake London,6.51,5.53
1,11:19,2,3,LAC 3,0,0,Cordarrelle Patterson right tackle for 2 yards (tackle by Drue Tranquill),5.53,5.17
1,10:43,3,1,LAC 1,0,6,"Cordarrelle Patterson left tackle for 1 yard, touchdown",5.17,7
1,10:40,,,LAC 15,0,7,Younghoe Koo kicks extra point good,0,0
1,10:40,,,ATL 35,0,7,"Bradley Pinion kicks off 65 yards, touchback.",0,0.61
1,10:40,1,10,LAC 25,0,7,Justin Herbert pass complete short left to Michael Bandy for 1 yard,0.61,0.2
1,10:07,2,9,LAC 26,0,7,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Cornell Armstrong and Jaylinn Hawkins),0.2,0.43
1,9:29,3,2,LAC 33,0,7,Justin Herbert pass incomplete short right intended for Michael Bandy (defended by Rashaan Evans),0.43,-1.18
1,9:24,4,2,LAC 33,0,7,JK Scott punts 48 yards out of bounds,-1.18,-0.15
1,9:14,1,10,ATL 19,0,7,Caleb Huntley left end for 5 yards (tackle by Austin Johnson),0.15,0.34
1,8:39,2,5,ATL 24,0,7,Marcus Mariota pass complete short left to Kyle Pitts for 18 yards (tackle by Michael Davis),0.34,1.73
1,7:56,1,10,ATL 42,0,7,Marcus Mariota scrambles up the middle for 5 yards (tackle by Drue Tranquill),1.73,1.86
1,7:12,2,5,ATL 47,0,7,Tyler Allgeier left tackle for 6 yards (tackle by Otito Ogbonnia),1.86,2.46
1,6:32,1,10,LAC 47,0,7,Marcus Mariota pass complete short middle to Drake London for 12 yards (tackle by Derwin James),2.46,3.25
1,5:55,1,10,LAC 35,0,7,Cordarrelle Patterson left end for 7 yards (tackle by Kenneth Murray),3.25,3.65
1,5:20,2,3,LAC 28,0,7,Marcus Mariota scrambles right end for 5 yards (tackle by Derrek Tuszka),3.65,4.04
1,4:46,1,10,LAC 23,0,7,Cordarrelle Patterson right end for 5 yards (tackle by Michael Davis and Austin Johnson),4.04,4.21
1,4:00,2,5,LAC 18,0,7,Cordarrelle Patterson left tackle for no gain (tackle by Drue Tranquill),4.21,3.49
1,3:19,3,5,LAC 18,0,7,Marcus Mariota pass complete short right to Drake London for 6 yards (tackle by Nasir Adderley),3.49,4.78
1,2:36,1,10,LAC 12,0,7,Caleb Huntley left end for -1 yards (tackle by Drue Tranquill and Christian Covington),4.78,3.94
1,1:52,2,11,LAC 13,0,7,Marcus Mariota pass incomplete short left intended for Drake London,3.94,3.1
1,1:46,3,11,LAC 13,0,7,Marcus Mariota pass complete short middle to Avery Williams for 2 yards (tackle by Asante Samuel),3.1,2.7
1,0:56,4,9,LAC 11,0,10,Younghoe Koo 29 yard field goal good,2.7,3
1,0:52,,,ATL 35,0,10,"Bradley Pinion kicks off 65 yards, touchback.",0,0.61
1,0:52,1,10,LAC 25,0,10,Austin Ekeler left guard for 3 yards (tackle by Rashaan Evans and Ta'Quon Graham),0.61,0.47
1,0:19,2,7,LAC 28,0,10,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Richie Grant and Rashaan Evans),0.47,0.43
2,15:00,3,2,LAC 33,0,10,Justin Herbert pass incomplete short middle intended for Josh Palmer,0.43,-1.18
2,14:55,4,2,LAC 33,0,10,"JK Scott punts 36 yards, fair catch by Avery Williams at ATL-31",-1.18,-1
2,14:45,1,10,ATL 31,0,10,Caleb Huntley left guard for 3 yards (tackle by Kenneth Murray and Sebastian Joseph-Day),1,0.87
2,14:06,2,7,ATL 34,0,10,Marcus Mariota pass incomplete deep right intended for Kyle Pitts,0.87,0.17
2,14:00,3,7,ATL 34,0,10,Marcus Mariota sacked by Drue Tranquill for -7 yards,0.17,-1.57
2,13:25,4,14,ATL 27,0,10,"Bradley Pinion punts 46 yards, returned by DeAndre Carter for no gain (tackle by Nick Kwiatkoski and Mike Ford). Penalty on Ja'Sir Taylor: Offensive Holding, 10 yards (accepted)",-1.57,0.06
2,13:13,1,10,LAC 17,0,10,Gerald Everett left end for no gain (tackle by Rashaan Evans and DeAngelo Malone),-0.06,-0.58
2,12:34,2,10,LAC 17,0,10,"Penalty on Sony Michel: False Start, 5 yards (accepted) (no play)",-0.58,-1.15
2,12:21,2,15,LAC 12,0,10,Justin Herbert pass incomplete short middle intended for Sony Michel,-1.15,-2.01
2,12:15,3,15,LAC 12,0,10,Justin Herbert pass complete deep middle to Josh Palmer for 25 yards (tackle by Richie Grant),-2.01,1.4
2,11:35,1,10,LAC 37,0,10,Austin Ekeler right guard for 2 yards (tackle by Richie Grant),1.4,1.13
2,11:02,2,8,LAC 39,0,10,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Cornell Armstrong),1.13,0.7
2,10:22,3,6,LAC 41,0,10,Justin Herbert pass complete short right to Josh Palmer for 10 yards (tackle by Cornell Armstrong and Rashaan Evans),0.7,2.32
2,9:56,1,10,ATL 49,0,10,Justin Herbert pass complete short right to Austin Ekeler for 13 yards (tackle by Cornell Armstrong and Mykal Walker),2.32,3.18
2,9:15,1,10,ATL 36,0,10,"Austin Ekeler right tackle for no gain (tackle by Isaiah Oliver). Penalty on Trey Pipkins: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.18,2.19
2,8:45,1,25,LAC 49,0,10,Justin Herbert pass complete short left to Josh Palmer for 10 yards (tackle by Arnold Ebiketie and Rashaan Evans),2.19,1.96
2,8:11,2,15,ATL 41,0,10,Justin Herbert pass complete short right to Michael Bandy for 6 yards (tackle by Isaiah Oliver),1.96,2.08
2,7:32,3,9,ATL 35,0,10,Justin Herbert pass complete short left to Gerald Everett for 12 yards (tackle by Mykal Walker),2.08,4.04
2,7:04,1,10,ATL 23,0,10,Austin Ekeler left tackle for 9 yards (tackle by Isaiah Oliver and Cornell Armstrong),4.04,4.95
2,6:32,2,1,ATL 14,0,10,Austin Ekeler left tackle for -1 yards (tackle by Grady Jarrett),4.95,4.05
2,5:53,3,2,ATL 15,0,10,Justin Herbert pass complete short right to Michael Bandy for 4 yards (tackle by Isaiah Oliver),4.05,4.84
2,5:19,1,10,ATL 11,0,10,Austin Ekeler right tackle for 9 yards (tackle by Jaylinn Hawkins and Isaiah Oliver),4.84,5.85
2,4:43,2,1,ATL 2,6,10,"Austin Ekeler right end for 2 yards, touchdown",5.85,7
2,4:38,,,ATL 15,7,10,Cameron Dicker kicks extra point good,0,0
2,4:38,,,LAC 35,7,10,"Cameron Dicker kicks off 65 yards, touchback.",0,0.61
