gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2,ballDirection,playType,play_uuid,timestamp,conversion,cumulativeConversionPerFormationOff,cumulativeConversionPerFormationDef,cumulativeConversionTotalOff,cumulativeConversionTotalDef
2022091110,240,44874,JuJu Smith-Schuster,(10:28) (Shotgun) P.Mahomes pass short left to J.Smith-Schuster pushed ob at ARZ 9 for 18 yards (I.Simmons).,1,3,7,KC,ARI,ARI,27,10:28,0,0,C,11.0,,18,18,N,37,SHOTGUN,5.0,0.992761672,0.268907398,0.731092602,-0.048622677,0.048622677,3.415013016,1.984808227,,,,,left,pass,2022091110.240,2022-09-11 16:32:35.099999,1,0.6,0.4,0.5,0.5
2022091110,1163,47839,Mecole Hardman,"(10:34) (Shotgun) P.Mahomes pass short right to M.Hardman pushed ob at ARZ 41 for 8 yards (B.Murphy). PENALTY on ARZ-J.Thompson, Unnecessary Roughness, 15 yards, enforced at ARZ 41.",2,3,2,KC,ARI,ARI,49,10:34,7,14,C,0.0,15.0,8,23,N,61,SHOTGUN,6.0,0.758342266,0.162054289,0.837945711,-0.035126427,0.035126427,1.676540529,2.391304992,Unnecessary Roughness,,49410.0,,right,pass,2022091110.1163,2022-09-11 17:09:42.700000,1,0.6,0.4,0.5238095238095238,0.47619047619047616
2022091110,1312,54716,Isiah Pacheco,(8:10) (Shotgun) I.Pacheco left end pushed ob at ARZ 4 for 2 yards (B.Baker).,2,3,4,KC,ARI,ARI,6,8:10,7,14,,,,2,2,N,104,PISTOL,8.0,0.935975373,0.121718727,0.878281273,0.013883289,-0.013883289,4.268005968,-1.357051983,,,,,left,run,2022091110.1312,2022-09-11 17:13:23.599999,0,0.0,1.0,0.48,0.52
2022091811,96,44931,Mack Hollins,(13:39) (Shotgun) D.Carr pass deep middle to M.Hollins to LV 44 for 20 yards (J.Whittaker).,1,3,11,LV,ARI,LV,24,13:39,0,0,C,18.0,,20,20,N,34,SHOTGUN,6.0,0.981444359,0.641869301,0.358130699,0.095234573,-0.095234573,-0.85990149,3.581389474,,,,,middle,pass,2022091811.96,2022-09-18 16:27:42.099999,1,0.5,0.48,0.5142857142857142,0.5
2022091811,2130,42547,Darren Waller,(12:21) (Shotgun) D.Carr pass short left to D.Waller to LV 16 for 7 yards (M.Wilson).,3,3,9,LV,ARI,LV,9,12:21,20,0,C,6.0,,7,7,N,101,SHOTGUN,6.0,0.968444705,0.979967226,0.020032774,-0.00122631,0.00122631,-1.224086937,-0.8303791,,,,,left,pass,2022091811.2130,2022-09-18 18:07:32.500000,0,0.38235294117647056,0.5897435897435898,0.4411764705882353,0.550561797752809
2022091811,3515,42547,Darren Waller,"(5:36) (Shotgun) D.Carr pass short right to D.Waller to LV 39 for 4 yards (D.Gardeck, J.Whittaker).",4,3,10,LV,ARI,LV,35,5:36,23,15,C,1.0,,4,4,N,45,SHOTGUN,6.0,0.943762422,0.941281383,0.058718617,-0.009971711,0.009971711,0.40774313,-1.076660258,,,,,right,pass,2022091811.3515,2022-09-18 19:08:03.200000,0,0.39473684210526316,0.5813953488372093,0.4177215189873418,0.57
2022092510,988,43399,Tyler Higbee,(14:13) (Shotgun) M.Stafford pass short left to T.Higbee to ARZ 22 for 6 yards (D.Gardeck).,2,3,12,LA,ARI,ARI,28,14:13,0,10,C,-2.0,,6,6,N,38,EMPTY,5.0,0.952309191,0.153806997,0.846193003,0.005352894,-0.005352894,2.755996638,-0.34034797,,,,,left,pass,2022092510.988,2022-09-25 17:06:37.200000,0,0.6428571428571429,0.2777777777777778,0.39285714285714285,0.5714285714285714
2022092510,2255,43399,Tyler Higbee,(13:46) (Shotgun) M.Stafford pass short right to T.Higbee to LA 30 for 10 yards (J.Whittaker).,3,3,15,LA,ARI,LA,20,13:46,6,13,C,9.0,,10,10,N,30,SHOTGUN,5.0,0.925995171,0.232609216,0.767390784,0.000353202,-0.000353202,-1.349211186,0.022187166,,,,,right,pass,2022092510.2255,2022-09-25 18:11:24.400000,0,0.37735849056603776,0.5961538461538461,0.37606837606837606,0.5887096774193549
2022092510,2798,44881,Cooper Kupp,(4:16) (Shotgun) M.Stafford pass short middle to C.Kupp to LA 35 for 11 yards (J.Thompson).,3,3,11,LA,ARI,LA,24,4:16,9,13,C,11.0,,11,11,N,34,EMPTY,6.0,0.966585755,0.314936373,0.685063627,-0.063749742,0.063749742,-0.80430814,2.54656342,,,,,middle,pass,2022092510.2798,2022-09-25 18:31:47.099999,1,0.625,0.3,0.375,0.5905511811023622
2022092510,3356,53678,Ben Skowronek,(10:02) M.Stafford pass short left to B.Skowronek ran ob at ARZ 33 for 32 yards (J.Thompson).,4,3,1,LA,ARI,LA,35,10:02,9,20,C,9.0,,32,32,N,75,SINGLEBACK,7.0,0.389004856,0.05780039,0.94219961,-0.023956287,0.023956287,1.750418915,2.279380981,,,,,left,pass,2022092510.3356,2022-09-25 18:58:11.200000,1,0.3548387096774194,0.5625,0.3828125,0.5851851851851851
