play_uuid,gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2,converted,blocked,playType,ballDirection,timestamp,cumulativeOverall_O,cumulativeOverall_D,cumulativeOverall_P,cumulativePerFormation_O,cumulativePerFormation_D,cumulativePerFormation_P,cumulativePerBoxCt_O,cumulativePerBoxCt_D,cumulativePerBoxCt_P
2022090800.1030,2022090800,1030,52536,Gabe Davis,(11:44) (Shotgun) J.Allen pass short left to G.Davis to 50 for 10 yards (D.Long).,2,3,2,BUF,LAR,BUF,40,11:44,0,7,C,10.0,,10,10,N,50,SHOTGUN,5.0,0.749548078,0.221376054,0.778623946,-0.025333134,0.025333134,1.215337055,1.508842597,,,,,1,0,pass,left,2022-09-08 21:01:44.799999,0.4444444444444444,0.5555555555555556,0.5,0.36363636363636365,0.6363636363636364,0.0,0.0,0.0,0.0
2022090800.1230,2022090800,1230,53678,Ben Skowronek,(8:04) (Shotgun) M.Stafford pass short left to B.Skowronek to BUF 44 for 12 yards (T.Johnson).,2,3,6,LAR,BUF,LA,44,8:04,0,10,C,7.0,,12,12,N,66,SHOTGUN,6.0,0.977441013,0.198758772,0.801241228,0.028453289,-0.028453289,1.257876028,1.859666275,,,,,1,0,pass,left,2022-09-08 21:10:22.799999,0.18181818181818182,0.8181818181818182,0.0,0.25,0.75,0.0,0.125,0.875,0.0
2022090800.1334,2022090800,1334,41290,Allen Robinson,"(5:42) (No Huddle, Shotgun) M.Stafford pass short left to Al.Robinson to BUF 28 for 12 yards (T.Edmunds).",2,3,14,LAR,BUF,BUF,40,5:42,0,10,C,12.0,,12,12,N,50,EMPTY,5.0,0.971210361,0.198467821,0.801532179,0.015200226,-0.015200226,1.719236675,0.514896295,,,,,0,1,pass,left,2022-09-08 21:13:17.500000,0.21428571428571427,0.7857142857142857,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0
2022090800.1563,2022090800,1563,42489,Stefon Diggs,(2:16) (Shotgun) J.Allen pass short left to S.Diggs ran ob at BUF 38 for 10 yards (J.Ramsey).,2,3,7,BUF,LAR,BUF,28,2:16,7,10,C,10.0,,10,10,N,38,SHOTGUN,6.0,0.976904094,0.337457046,0.662542954,-0.008994874,0.008994874,0.510734358,1.38444444,,,,,1,0,pass,left,2022-09-08 21:25:54.700000,0.45,0.55,0.5,0.38461538461538464,0.6153846153846154,0.3333333333333333,0.4117647058823529,0.5882352941176471,0.5
2022090800.1757,2022090800,1757,34452,Matthew Stafford,(:39) M.Stafford scrambles right end ran ob at BUF 29 for 2 yards (G.Rousseau).,2,3,1,LAR,BUF,BUF,31,0:39,7,10,R,,,2,2,N,41,SINGLEBACK,7.0,0.437029213,0.439796761,0.560203239,-0.005954299,0.005954299,3.304773921,-0.025070442,,,,,1,0,not_pass,right,2022-09-08 21:33:25.000000,0.25,0.75,0.0,0.125,0.875,0.0,1.0,0.0,0.0
2022090800.2137,2022090800,2137,46076,Josh Allen,(10:34) (Shotgun) J.Allen scrambles up the middle pushed ob at LA 35 for 8 yards (N.Scott).,3,3,7,BUF,LAR,LA,43,10:34,10,10,R,,,8,8,N,53,SHOTGUN,6.0,0.992450893,0.400135495,0.599864505,-0.054069057,0.054069057,1.800714612,2.140609414,,,,,1,0,not_pass,middle,2022-09-08 22:00:00.900000,0.4583333333333333,0.5416666666666666,0.5,0.4117647058823529,0.5882352941176471,0.0,0.45,0.55,0.5
2022090800.236,2022090800,236,52536,Gabe Davis,"(10:03) J.Allen pass short right to G.Davis for 26 yards, TOUCHDOWN.",1,3,1,BUF,LAR,LA,26,10:03,0,0,C,15.0,,26,26,N,36,I_FORM,7.0,0.225846484,0.341446713,0.658553287,-0.063680924,0.063680924,4.081674289,2.918325711,,,,,1,0,pass,right,2022-09-08 20:29:04.000000,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022090800.2599,2022090800,2599,42448,Jamison Crowder,(1:19) (Shotgun) J.Allen pass short right to J.Crowder to BUF 44 for 6 yards (J.Ramsey).,3,3,5,BUF,LAR,BUF,38,1:19,10,17,C,4.0,,6,6,N,72,SHOTGUN,5.0,0.972033381,0.170414459,0.829585541,-0.046743091,0.046743091,0.753256892,1.698092005,,,,,1,0,pass,right,2022-09-08 22:21:05.099999,0.4857142857142857,0.5142857142857142,1.0,0.4583333333333333,0.5416666666666666,1.0,0.6666666666666666,0.3333333333333333,0.0
2022090800.2688,2022090800,2688,52536,Gabe Davis,(15:00) (Shotgun) J.Allen pass deep middle to G.Davis to LA 6 for 47 yards (D.Long).,4,3,7,BUF,LAR,BUF,47,15:00,10,17,C,40.0,,47,47,N,57,SHOTGUN,4.0,0.981052816,0.150378108,0.849621892,-0.067931369,0.067931369,1.207211893,4.467860855,,,,,1,0,pass,middle,2022-09-08 22:27:06.299999,0.4864864864864865,0.5135135135135135,0.6666666666666666,0.46153846153846156,0.5384615384615384,0.5,0.0,0.0,0.0
2022090800.2755,2022090800,2755,46076,Josh Allen,"(13:34) (Shotgun) J.Allen scrambles right end for 4 yards, TOUCHDOWN.",4,3,4,BUF,LAR,LA,4,13:34,10,17,R,,,4,4,N,106,SHOTGUN,6.0,0.956661105,0.108630151,0.891369849,-0.041725827,0.041725827,4.491865025,2.508134975,,,,,1,0,not_pass,right,2022-09-08 22:29:04.799999,0.48717948717948717,0.5128205128205128,0.3333333333333333,0.4642857142857143,0.5357142857142857,0.2,0.52,0.48,0.5
