play_uuid,off_x0,off_y0,off_s0,off_a0,off_dis0,off_o0,off_dir0,off_x1,off_y1,off_s1,off_a1,off_dis1,off_o1,off_dir1,off_x2,off_y2,off_s2,off_a2,off_dis2,off_o2,off_dir2,off_x3,off_y3,off_s3,off_a3,off_dis3,off_o3,off_dir3,off_x4,off_y4,off_s4,off_a4,off_dis4,off_o4,off_dir4,off_x5,off_y5,off_s5,off_a5,off_dis5,off_o5,off_dir5,off_x6,off_y6,off_s6,off_a6,off_dis6,off_o6,off_dir6,off_x7,off_y7,off_s7,off_a7,off_dis7,off_o7,off_dir7,off_x8,off_y8,off_s8,off_a8,off_dis8,off_o8,off_dir8,off_x9,off_y9,off_s9,off_a9,off_dis9,off_o9,off_dir9,off_x10,off_y10,off_s10,off_a10,off_dis10,off_o10,off_dir10,def_x0,def_y0,def_s0,def_a0,def_dis0,def_o0,def_dir0,def_x1,def_y1,def_s1,def_a1,def_dis1,def_o1,def_dir1,def_x2,def_y2,def_s2,def_a2,def_dis2,def_o2,def_dir2,def_x3,def_y3,def_s3,def_a3,def_dis3,def_o3,def_dir3,def_x4,def_y4,def_s4,def_a4,def_dis4,def_o4,def_dir4,def_x5,def_y5,def_s5,def_a5,def_dis5,def_o5,def_dir5,def_x6,def_y6,def_s6,def_a6,def_dis6,def_o6,def_dir6,def_x7,def_y7,def_s7,def_a7,def_dis7,def_o7,def_dir7,def_x8,def_y8,def_s8,def_a8,def_dis8,def_o8,def_dir8,def_x9,def_y9,def_s9,def_a9,def_dis9,def_o9,def_dir9,def_x10,def_y10,def_s10,def_a10,def_dis10,def_o10,def_dir10,converted,playType,ballDirection,cumulativeOverall_O,cumulativeOverall_D,cumulativeOverall_P,cumulativePerFormation_O,cumulativePerFormation_D,cumulativePerFormation_P,cumulativePerBoxCt_O,cumulativePerBoxCt_D,cumulativePerBoxCt_P,week,quarter,yardsToGo,preSnapHomeScore,preSnapVisitorScore,offenseFormation,defendersInTheBox,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,down
2022091100.3379,-4.610001678466801,3.4700000762938963,0.0,0.0,0.0,268.24,71.97,-0.6500016784667935,8.600000076293892,0.08,0.44,0.01,275.85,318.58,-3.970001678466801,7.720000076293896,0.0,0.0,0.01,280.86,231.2,-4.4000016784667935,5.470000076293896,0.0,0.0,0.0,250.39,196.76,-0.5500016784667991,6.940000076293895,0.1,0.8,0.01,236.83,314.02,-0.5600016784667972,4.030000076293895,0.13,0.71,0.01,252.63,142.97,-0.5600016784667972,10.210000076293891,0.01,0.31,0.0,264.69,282.66,-1.0600016784667972,11.640000076293898,0.09,0.31,0.01,257.78,104.28,-0.4900016784667969,2.490000076293896,0.01,0.01,0.08,234.28,1.39,-0.05000167846679915,5.660000076293898,0.22,1.16,0.02,268.91,5.79,-0.8200016784667952,14.550000076293895,0.0,0.0,0.0,286.83,348.49,4.209998321533206,10.800000076293895,0.04,0.4,0.02,81.88,143.88,4.209998321533206,10.800000076293895,0.07,0.72,0.01,82.41,163.48,4.209998321533206,10.800000076293895,0.91,0.58,0.09,54.62,276.34,4.209998321533206,10.800000076293895,0.18,0.67,0.02,80.32,0.84,4.209998321533206,10.800000076293895,0.76,0.64,0.08,118.07,176.81,4.209998321533206,10.800000076293895,1.16,0.9,0.12,51.36,262.35,4.209998321533206,10.800000076293895,0.22,0.09,0.03,122.87,297.36,4.209998321533206,10.800000076293895,0.1,0.12,0.01,134.67,1.88,4.209998321533206,10.800000076293895,0.01,0.02,0.02,74.5,70.53,4.209998321533206,10.800000076293895,0.13,0.78,0.01,61.42,27.83,4.209998321533206,10.800000076293895,0.06,0.13,0.01,88.43,133.4,0,not_pass,right,0.4489795918367347,0.5510204081632653,0.42857142857142855,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.36,0.64,0.3076923076923077,1,4,3,26,18,SHOTGUN,7.0,0.888344675,0.111655325,-0.023668926,0.023668926,3
2022091100.546,-0.13999969482419772,-2.9199996185303014,0.01,0.21,0.01,252.49,313.83,-1.679999694824204,7.580000381469699,0.02,0.02,0.0,271.76,170.04,-0.009999694824202265,-4.489999618530302,0.0,0.0,0.01,266.59,328.4,0.06000030517579091,-9.059999618530302,0.0,0.0,0.0,206.58,317.21,-4.21999969482421,-6.079999618530302,0.16,0.14,0.01,266.68,298.73,0.3900003051757892,-6.039999618530302,0.2,1.07,0.02,238.56,221.86,0.1300003051757983,-7.519999618530303,0.08,0.32,0.02,262.1,257.21,-0.08999969482420056,-10.519999618530303,0.0,0.0,0.01,222.47,268.4,-1.3299996948242097,-8.8599996185303,3.88,1.7,0.4,325.84,356.47,0.2800003051757898,0.560000381469699,0.01,0.01,0.0,278.05,5.85,-3.959999694824205,-8.3899996185303,0.01,0.01,0.01,263.38,354.88,1.8700003051757932,-5.179999618530299,0.25,0.97,0.02,59.06,148.3,1.8700003051757932,-5.179999618530299,0.12,1.2,0.02,88.59,174.08,1.8700003051757932,-5.179999618530299,0.14,0.14,0.04,80.82,148.32,1.8700003051757932,-5.179999618530299,3.42,1.26,0.35,26.79,4.66,1.8700003051757932,-5.179999618530299,0.1,0.06,0.01,79.38,90.4,1.8700003051757932,-5.179999618530299,0.2,0.03,0.02,71.72,14.81,1.8700003051757932,-5.179999618530299,0.08,0.41,0.01,90.77,111.0,1.8700003051757932,-5.179999618530299,0.75,0.09,0.07,135.72,353.95,1.8700003051757932,-5.179999618530299,0.01,0.01,0.01,118.57,56.04,1.8700003051757932,-5.179999618530299,0.13,0.15,0.01,100.87,19.33,1.8700003051757932,-5.179999618530299,0.25,0.71,0.02,26.61,328.65,1,not_pass,right,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3,0,SHOTGUN,8.0,0.3605577,0.6394423,-0.103410551,0.103410551,3
2022091100.762,-5.960001525878901,7.739999847412097,0.07,0.54,0.01,247.82,343.09,-1.130001525878896,9.039999847412094,0.14,1.05,0.02,266.71,311.37,-2.140001525878901,-13.180000152587905,0.0,0.0,0.0,265.78,285.74,-0.9900015258789026,7.389999847412096,0.1,0.71,0.01,268.04,333.14,-0.7900015258788997,2.2999998474120957,0.16,0.98,0.01,298.72,16.29,-5.160001525878897,5.449999847412094,0.13,0.14,0.02,260.22,310.7,-0.3600015258789,5.649999847412097,0.14,0.25,0.02,237.2,240.07,-0.8600015258789,3.9699998474120974,0.26,1.33,0.03,269.58,334.13,-2.2200015258788994,0.7999998474120957,0.0,0.0,0.01,256.74,210.59,-0.5600015258788957,13.769999847412098,0.0,0.0,0.0,274.69,220.65,-0.23000152587889744,-8.380000152587908,0.0,0.0,0.0,260.7,269.15,0.9999984741210994,5.669999847412097,1.3,0.25,0.13,138.08,289.93,0.9999984741210994,5.669999847412097,0.45,0.86,0.04,85.88,106.82,0.9999984741210994,5.669999847412097,0.01,0.01,0.01,122.53,82.1,0.9999984741210994,5.669999847412097,0.03,0.09,0.01,90.0,36.87,0.9999984741210994,5.669999847412097,0.0,0.0,0.0,93.56,254.27,0.9999984741210994,5.669999847412097,0.04,0.05,0.03,71.51,100.16,0.9999984741210994,5.669999847412097,0.92,0.3,0.09,94.33,319.54,0.9999984741210994,5.669999847412097,0.26,0.87,0.03,78.94,269.05,0.9999984741210994,5.669999847412097,0.02,0.11,0.01,90.83,106.0,0.9999984741210994,5.669999847412097,0.0,0.0,0.01,65.58,149.68,0.9999984741210994,5.669999847412097,0.01,0.23,0.01,70.27,197.26,1,not_pass,right,0.2857142857142857,0.7142857142857143,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1,1,3,3,7,SHOTGUN,7.0,0.15197432,0.84802568,-0.008042667,0.008042667,3
2022091100.996,-4.160001220703094,-8.430000457763704,0.0,0.0,0.01,270.16,196.15,0.02999877929690342,-3.440000457763702,0.27,1.39,0.02,262.83,332.94,-3.360001220703097,-4.130000457763703,0.12,1.07,0.01,266.21,234.16,-4.010001220703096,-6.340000457763704,0.0,0.0,0.0,260.41,257.57,0.01999877929690541,-5.000000457763704,0.21,1.44,0.02,265.05,337.44,-0.5400012207030969,2.6199995422363003,0.0,0.0,0.0,288.21,358.24,-0.020001220703093736,-7.930000457763704,0.15,1.0,0.01,246.0,133.77,0.11999877929690683,-2.030000457763702,0.15,0.66,0.01,268.95,320.25,-0.45000122070309345,-0.5400004577637034,0.43,0.97,0.04,272.6,331.65,0.009998779296900295,-9.070000457763705,0.0,0.0,0.03,253.72,340.93,0.4899987792969043,-6.320000457763705,0.55,1.78,0.05,279.9,6.65,5.059998779296905,-9.260000457763702,0.0,0.0,0.0,82.39,252.46,5.059998779296905,-9.260000457763702,0.13,0.11,0.03,84.25,68.53,5.059998779296905,-9.260000457763702,0.01,0.01,0.0,112.98,284.0,5.059998779296905,-9.260000457763702,0.77,0.61,0.07,130.04,342.08,5.059998779296905,-9.260000457763702,0.04,0.27,0.0,99.49,125.53,5.059998779296905,-9.260000457763702,0.0,0.0,0.0,57.58,87.42,5.059998779296905,-9.260000457763702,0.54,0.68,0.05,56.02,120.04,5.059998779296905,-9.260000457763702,0.48,0.31,0.06,39.24,159.45,5.059998779296905,-9.260000457763702,0.09,0.84,0.01,60.63,101.93,5.059998779296905,-9.260000457763702,0.46,2.6,0.04,67.02,58.53,5.059998779296905,-9.260000457763702,0.4,0.55,0.04,102.63,27.7,1,not_pass,left,0.46153846153846156,0.5384615384615384,0.4,0.5,0.5,0.0,0.0,0.0,0.0,1,2,1,3,7,SHOTGUN,8.0,0.257660661,0.742339339,0.019991547,-0.019991547,3
2022091101.1564,-1.0699998474120989,1.7499995422362993,1.16,0.3,0.17,341.32,58.58,-0.7399998474121006,-19.3200004577637,0.0,0.0,0.01,102.53,221.55,-3.2399998474121006,-0.010000457763698734,0.15,0.23,0.02,83.92,47.68,0.6400001525878949,6.1199995422363,0.0,0.19,0.01,202.49,49.85,0.6200001525878989,0.46999954223629814,0.31,1.34,0.06,357.33,285.38,-3.289999847412105,-2.660000457763701,0.0,0.0,0.0,119.27,120.2,0.08000015258789972,-1.5000004577637007,0.16,0.52,0.04,6.05,324.71,0.3000001525878986,3.6499995422363014,0.0,0.0,0.01,70.95,60.25,-0.4599998474120994,-8.2500004577637,0.2,0.13,0.04,38.12,108.2,-0.14999984741210426,-3.170000457763699,0.03,0.09,0.02,5.96,52.14,0.6800001525879011,-10.870000457763702,0.0,0.0,0.0,73.06,228.38,6.110000152587901,-18.900000457763703,0.02,0.03,0.02,113.54,216.29,6.110000152587901,-18.900000457763703,0.53,1.4,0.11,28.57,273.73,6.110000152587901,-18.900000457763703,0.67,0.28,0.07,262.47,138.8,6.110000152587901,-18.900000457763703,0.07,0.31,0.02,296.74,294.02,6.110000152587901,-18.900000457763703,0.02,0.45,0.01,195.63,270.65,6.110000152587901,-18.900000457763703,0.32,0.17,0.02,315.94,253.9,6.110000152587901,-18.900000457763703,0.15,0.07,0.05,78.55,142.26,6.110000152587901,-18.900000457763703,0.05,0.55,0.02,291.76,297.34,6.110000152587901,-18.900000457763703,0.0,0.0,0.01,171.89,243.84,6.110000152587901,-18.900000457763703,0.36,1.22,0.04,258.88,322.98,6.110000152587901,-18.900000457763703,0.03,1.24,0.01,213.51,113.6,1,not_pass,left,0.17647058823529413,0.8235294117647058,0.2222222222222222,0.2,0.8,0.2,0.08333333333333333,0.9166666666666666,0.16666666666666666,1,2,2,0,7,SHOTGUN,7.0,0.265257739,0.734742261,-0.068980549,0.068980549,3
2022091101.251,-1.3000013732910034,-4.050000534057602,0.38,0.17,0.2,69.92,322.48,-1.5500013732910034,1.8599994659423977,0.04,0.31,0.02,256.4,20.0,-4.290001373290998,-6.420000534057603,0.01,0.23,0.0,265.17,258.03,-0.950001373291002,-15.9700005340576,0.01,0.21,0.0,228.23,192.11,-0.030001373291000277,-6.310000534057604,0.75,1.05,0.08,207.56,115.69,-2.5100013732910043,-2.730000534057602,2.93,2.92,0.31,195.24,189.09,-4.310001373291001,-4.270000534057601,0.0,0.0,0.01,151.26,100.6,-1.0600013732910014,-8.050000534057602,0.01,0.15,0.01,248.09,220.08,-0.960001373291,-2.8400005340576016,0.03,0.5,0.0,131.68,135.32,-0.5500013732910034,0.18999946594239603,0.0,0.0,0.01,24.73,277.2,-1.0000013732909991,-9.8700005340576,0.01,0.25,0.01,205.07,187.35,3.1599986267089974,2.3199994659423986,0.0,0.0,0.01,73.63,76.84,3.1599986267089974,2.3199994659423986,0.11,0.13,0.04,205.48,152.94,3.1599986267089974,2.3199994659423986,0.01,0.02,0.01,79.85,222.47,3.1599986267089974,2.3199994659423986,0.0,0.0,0.01,355.65,348.5,3.1599986267089974,2.3199994659423986,0.26,0.82,0.03,100.92,63.37,3.1599986267089974,2.3199994659423986,0.2,0.6,0.03,33.08,315.18,3.1599986267089974,2.3199994659423986,0.01,0.09,0.03,98.4,231.86,3.1599986267089974,2.3199994659423986,0.27,0.83,0.03,76.15,83.8,3.1599986267089974,2.3199994659423986,0.62,2.46,0.05,105.9,335.39,3.1599986267089974,2.3199994659423986,3.78,2.44,0.39,155.5,170.2,3.1599986267089974,2.3199994659423986,0.13,0.03,0.03,12.81,30.17,1,not_pass,left,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1,1,3,0,0,SHOTGUN,7.0,0.516837344,0.483162656,-0.023626253,0.023626253,3
2022091101.3080,-0.9900033569335989,-14.6599997711182,0.12,0.59,0.02,44.08,110.22,-5.970003356933589,2.570000228881799,0.81,0.04,0.17,68.78,130.49,-1.9700033569335886,-3.749999771118201,0.28,0.45,0.14,135.28,216.11,-0.4500033569335926,-0.09999977111819902,0.26,0.93,0.02,72.1,173.93,-4.6500033569335955,-0.14999977111819973,0.0,0.0,0.01,63.07,219.05,-1.2300033569335938,21.880000228881798,0.04,0.61,0.02,52.47,42.54,-1.1300033569335994,-1.8999997711181997,0.3,1.58,0.03,93.88,197.78,-1.800003356933587,4.950000228881802,0.04,0.41,0.0,105.09,211.39,-1.3700033569335943,1.6000002288818003,0.1,1.36,0.02,116.2,143.08,-1.810003356933592,12.110000228881802,0.0,0.0,0.0,84.06,53.49,-1.4400033569335875,3.4400002288818,0.23,1.15,0.02,126.54,125.28,0.459996643066404,6.900000228881801,0.16,0.6,0.07,11.23,205.32,0.459996643066404,6.900000228881801,0.92,1.16,0.08,239.74,306.24,0.459996643066404,6.900000228881801,4.61,4.07,0.44,338.94,90.5,0.459996643066404,6.900000228881801,0.01,0.2,0.0,88.89,187.11,0.459996643066404,6.900000228881801,0.0,0.0,0.02,294.41,249.2,0.459996643066404,6.900000228881801,0.0,0.0,0.01,121.09,55.64,0.459996643066404,6.900000228881801,1.73,2.65,0.16,248.55,21.95,0.459996643066404,6.900000228881801,0.31,0.81,0.02,248.22,151.4,0.459996643066404,6.900000228881801,0.07,0.06,0.05,253.18,330.99,0.459996643066404,6.900000228881801,0.0,0.0,0.0,188.99,292.75,0.459996643066404,6.900000228881801,0.29,1.39,0.03,239.24,288.85,1,not_pass,right,0.23809523809523808,0.7619047619047619,0.25,0.3,0.7,0.25,0.2857142857142857,0.7142857142857143,0.3333333333333333,1,4,7,7,20,SHOTGUN,6.0,0.139047317,0.860952683,0.023645967,-0.023645967,3
2022091101.3399,-1.3699996185302972,7.270000076293897,0.0,0.0,0.01,253.99,18.33,-0.9899996185302982,19.4500000762939,0.0,0.0,0.01,232.01,160.41,-4.549999618530297,5.890000076293898,0.0,0.0,0.0,273.45,214.94,-0.13999961853029674,5.830000076293896,0.28,0.94,0.03,358.97,39.56,-4.849999618530298,8.580000076293896,0.0,0.0,0.0,166.12,52.49,-0.8999996185302983,3.7000000762938967,0.0,0.0,0.04,223.02,255.63,-1.2699996185302993,8.9500000762939,0.0,0.0,0.0,305.87,28.13,-1.4799996185302966,0.8500000762938953,0.04,0.46,0.01,271.67,240.1,-0.5199996185302993,-1.0299999237061037,0.08,0.74,0.01,314.68,345.3,-1.1199996185302972,2.240000076293896,0.0,0.0,0.01,215.34,258.01,-3.0099996185302977,1.7200000762938963,5.96,3.74,0.58,170.77,177.38,1.300000381469701,3.2600000762938954,0.29,0.08,0.04,134.39,26.61,1.300000381469701,3.2600000762938954,0.01,0.01,0.02,138.96,70.5,1.300000381469701,3.2600000762938954,1.82,2.6,0.18,255.08,156.25,1.300000381469701,3.2600000762938954,0.26,0.77,0.02,213.39,340.43,1.300000381469701,3.2600000762938954,1.45,0.95,0.14,68.65,49.71,1.300000381469701,3.2600000762938954,0.2,1.13,0.04,74.93,98.92,1.300000381469701,3.2600000762938954,1.38,1.56,0.12,146.7,65.94,1.300000381469701,3.2600000762938954,3.61,2.44,0.35,156.98,221.26,1.300000381469701,3.2600000762938954,0.25,0.52,0.03,121.75,28.32,1.300000381469701,3.2600000762938954,0.01,0.01,0.01,111.62,219.86,1.300000381469701,3.2600000762938954,0.03,0.53,0.35,308.06,122.99,0,not_pass,middle,0.3111111111111111,0.6888888888888889,0.3333333333333333,0.3888888888888889,0.6111111111111112,0.4,0.13636363636363635,0.8636363636363636,0.0,1,4,4,14,20,SHOTGUN,7.0,0.087274281,0.912725719,0.023653427,-0.023653427,3
2022091101.3961,-0.5800024414061937,20.6800008392334,0.31,0.36,0.04,77.11,227.62,-5.6200024414062,-2.4999991607666026,0.48,0.85,0.05,84.75,7.28,-0.8000024414061926,-3.1899991607666003,1.01,1.31,0.11,122.78,42.59,-0.17000244140619714,0.49000083923339943,0.71,0.77,0.07,37.27,342.17,-4.2900024414061875,-0.20999916076659986,0.45,0.51,0.05,92.32,232.39,-1.660002441406192,-8.939999160766602,0.53,0.33,0.06,76.57,18.93,-0.4900024414061903,-1.5199991607666021,1.0,1.05,0.1,52.1,15.91,-0.5200024414061915,-5.199999160766602,1.11,3.37,0.08,38.29,7.78,-1.0600024414061977,1.6500008392333996,0.94,1.26,0.1,100.62,166.25,-1.3400024414061988,11.1800008392334,0.22,0.71,0.04,81.6,252.49,-0.930002441406188,3.260000839233399,1.3,1.17,0.14,27.88,144.6,1.2799975585938057,20.710000839233402,0.45,0.32,0.05,224.34,347.05,1.2799975585938057,20.710000839233402,0.81,0.6,0.09,215.98,259.23,1.2799975585938057,20.710000839233402,0.71,0.17,0.08,165.13,30.03,1.2799975585938057,20.710000839233402,0.28,1.37,0.04,200.96,322.03,1.2799975585938057,20.710000839233402,0.42,1.18,0.05,286.22,303.26,1.2799975585938057,20.710000839233402,0.62,2.46,0.06,258.01,337.82,1.2799975585938057,20.710000839233402,2.21,0.39,0.22,210.25,278.65,1.2799975585938057,20.710000839233402,0.19,0.4,0.02,276.19,353.76,1.2799975585938057,20.710000839233402,0.41,0.14,0.05,207.18,201.81,1.2799975585938057,20.710000839233402,1.52,0.82,0.15,236.74,253.94,1.2799975585938057,20.710000839233402,0.12,0.39,0.08,126.65,212.83,0,not_pass,middle,0.36666666666666664,0.6333333333333333,0.3076923076923077,0.47058823529411764,0.5294117647058824,0.375,0.4166666666666667,0.5833333333333334,0.42857142857142855,1,4,11,21,23,SHOTGUN,6.0,0.6476271,0.3523729,-0.095613564,0.095613564,3
2022091101.641,-1.0000003051758029,-4.3699991607666036,0.22,0.27,0.03,279.72,124.94,-0.26000030517580086,-19.539999160766605,0.19,0.28,0.02,109.19,240.58,-4.1700003051758046,-6.249999160766606,0.11,0.87,0.02,249.63,173.16,-0.33000030517580115,0.9500008392333967,0.0,0.07,0.01,110.84,221.57,-0.17000030517580456,-6.129999160766605,1.53,0.87,0.17,105.18,98.84,-4.350000305175804,-8.929999160766606,0.26,0.16,0.02,233.06,359.18,-0.780000305175804,-8.129999160766605,0.08,0.89,0.01,201.14,227.36,-0.5000003051758029,-2.929999160766606,0.06,0.45,0.01,163.1,334.72,-0.9400003051758006,13.840000839233397,0.05,0.05,0.03,47.67,199.46,-0.8900003051758034,-9.619999160766604,0.26,1.36,0.03,213.42,178.35,-0.9400003051758006,5.8800008392333964,0.01,0.01,0.01,250.92,143.52,1.6499996948241957,-19.859999160766606,0.12,0.07,0.01,132.04,154.79,1.6499996948241957,-19.859999160766606,0.93,1.48,0.09,98.3,150.66,1.6499996948241957,-19.859999160766606,0.97,0.24,0.09,64.18,218.96,1.6499996948241957,-19.859999160766606,0.28,0.73,0.02,29.01,252.4,1.6499996948241957,-19.859999160766606,0.26,0.16,0.05,106.45,35.45,1.6499996948241957,-19.859999160766606,0.37,0.5,0.05,97.67,67.85,1.6499996948241957,-19.859999160766606,0.43,0.11,0.05,164.65,22.63,1.6499996948241957,-19.859999160766606,0.08,0.65,0.01,98.33,170.13,1.6499996948241957,-19.859999160766606,0.01,0.11,0.02,78.98,86.55,1.6499996948241957,-19.859999160766606,0.43,0.5,0.05,71.87,100.68,1.6499996948241957,-19.859999160766606,0.41,0.4,0.04,96.22,199.13,1,not_pass,left,0.18181818181818182,0.8181818181818182,0.0,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,1,1,4,0,0,SHOTGUN,6.0,0.532052025,0.467947975,-0.037028361,0.037028361,3
