play_uuid,x0,y0,s0,a0,dis0,o0,dir0,x1,y1,s1,a1,dis1,o1,dir1,x2,y2,s2,a2,dis2,o2,dir2,x3,y3,s3,a3,dis3,o3,dir3,x4,y4,s4,a4,dis4,o4,dir4,x5,y5,s5,a5,dis5,o5,dir5,x6,y6,s6,a6,dis6,o6,dir6,x7,y7,s7,a7,dis7,o7,dir7,x8,y8,s8,a8,dis8,o8,dir8,x9,y9,s9,a9,dis9,o9,dir9,x10,y10,s10,a10,dis10,o10,dir10,x11,y11,s11,a11,dis11,o11,dir11,x12,y12,s12,a12,dis12,o12,dir12,x13,y13,s13,a13,dis13,o13,dir13,x14,y14,s14,a14,dis14,o14,dir14,x15,y15,s15,a15,dis15,o15,dir15,x16,y16,s16,a16,dis16,o16,dir16,x17,y17,s17,a17,dis17,o17,dir17,x18,y18,s18,a18,dis18,o18,dir18,x19,y19,s19,a19,dis19,o19,dir19,x20,y20,s20,a20,dis20,o20,dir20,x21,y21,s21,a21,dis21,o21,dir21,x22,y22,s22,a22,dis22,converted,playType,ballDirection,cumulativeOverall_O,cumulativeOverall_D,cumulativeOverall_P,cumulativePerFormation_O,cumulativePerFormation_D,cumulativePerFormation_P,cumulativePerBoxCt_O,cumulativePerBoxCt_D,cumulativePerBoxCt_P,week
2022091100.3379,59.57,26.78,0.04,0.4,0.02,81.88,143.88,56.2,22.62,0.07,0.72,0.01,82.41,163.48,65.62,26.0,0.0,0.0,0.0,268.24,71.97,50.66,17.23,0.91,0.58,0.09,54.62,276.34,61.66,20.87,0.08,0.44,0.01,275.85,318.58,55.73,29.27,0.18,0.67,0.02,80.32,0.84,64.98,21.75,0.0,0.0,0.01,280.86,231.2,65.41,24.0,0.0,0.0,0.0,250.39,196.76,59.37,21.07,0.76,0.64,0.08,118.07,176.81,54.63,13.82,1.16,0.9,0.12,51.36,262.35,48.19,29.04,0.22,0.09,0.03,122.87,297.36,59.14,28.55,0.1,0.12,0.01,134.67,1.88,61.56,22.53,0.1,0.8,0.01,236.83,314.02,59.73,18.55,0.01,0.02,0.02,74.5,70.53,61.57,25.44,0.13,0.71,0.01,252.63,142.97,61.57,19.26,0.01,0.31,0.0,264.69,282.66,59.54,23.43,0.13,0.78,0.01,61.42,27.83,62.07,17.83,0.09,0.31,0.01,257.78,104.28,61.5,26.98,0.01,0.01,0.08,234.28,1.39,56.8,18.67,0.06,0.13,0.01,88.43,133.4,61.06,23.81,0.22,1.16,0.02,268.91,5.79,61.83,14.92,0.0,0.0,0.0,286.83,348.49,61.0099983215332,23.8299999237061,0.0,0.0,0.0,0,not_pass,right,0.4489795918367347,0.5510204081632653,0.42857142857142855,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.36,0.64,0.3076923076923077,1
2022091100.546,74.03,16.02,0.25,0.97,0.02,59.06,148.3,75.41,22.29,0.12,1.2,0.02,88.59,174.08,79.07,26.57,0.01,0.21,0.01,252.49,313.83,80.61,16.07,0.02,0.02,0.0,271.76,170.04,78.94,28.14,0.0,0.0,0.01,266.59,328.4,77.28,32.38,0.14,0.14,0.04,80.82,148.32,75.15,30.88,3.42,1.26,0.35,26.79,4.66,78.87,32.71,0.0,0.0,0.0,206.58,317.21,83.15,29.73,0.16,0.14,0.01,266.68,298.73,72.82,30.57,0.1,0.06,0.01,79.38,90.4,76.76,24.02,0.2,0.03,0.02,71.72,14.81,78.54,29.69,0.2,1.07,0.02,238.56,221.86,77.29,30.37,0.08,0.41,0.01,90.77,111.0,75.08,36.71,0.75,0.09,0.07,135.72,353.95,78.8,31.17,0.08,0.32,0.02,262.1,257.21,79.02,34.17,0.0,0.0,0.01,222.47,268.4,77.1,36.37,0.01,0.01,0.01,118.57,56.04,80.26,32.51,3.88,1.7,0.4,325.84,356.47,78.65,23.09,0.01,0.01,0.0,278.05,5.85,76.88,26.58,0.13,0.15,0.01,100.87,19.33,82.89,32.04,0.01,0.01,0.01,263.38,354.88,77.06,28.83,0.25,0.71,0.02,26.61,328.65,78.9300003051758,29.6499996185303,2.1800000667572,7.03999996185303,0.219999998807907,1,not_pass,right,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022091100.762,51.81,21.72,0.07,0.54,0.01,247.82,343.09,39.24,38.46,1.3,0.25,0.13,138.08,289.93,46.98,20.42,0.14,1.05,0.02,266.71,311.37,47.99,42.64,0.0,0.0,0.0,265.78,285.74,46.84,22.07,0.1,0.71,0.01,268.04,333.14,46.64,27.16,0.16,0.98,0.01,298.72,16.29,51.01,24.01,0.13,0.14,0.02,260.22,310.7,40.75,26.05,0.45,0.86,0.04,85.88,106.82,45.0,30.61,0.01,0.01,0.01,122.53,82.1,44.98,26.27,0.03,0.09,0.01,90.0,36.87,46.21,23.81,0.14,0.25,0.02,237.2,240.07,44.25,15.61,0.0,0.0,0.0,93.56,254.27,46.71,25.49,0.26,1.33,0.03,269.58,334.13,48.07,28.66,0.0,0.0,0.01,256.74,210.59,41.31,21.49,0.04,0.05,0.03,71.51,100.16,31.24,27.26,0.92,0.3,0.09,94.33,319.54,46.41,15.69,0.0,0.0,0.0,274.69,220.65,37.55,41.96,0.26,0.87,0.03,78.94,269.05,44.73,20.82,0.02,0.11,0.01,90.83,106.0,46.08,37.84,0.0,0.0,0.0,260.7,269.15,44.77,17.98,0.0,0.0,0.01,65.58,149.68,44.85,23.79,0.01,0.23,0.01,70.27,197.26,45.8499984741211,23.8400001525879,0.0,0.0,0.0,1,not_pass,right,0.2857142857142857,0.7142857142857143,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1
2022091100.996,43.56,25.76,0.0,0.0,0.0,82.39,252.46,40.74,26.96,0.13,0.11,0.03,84.25,68.53,49.69,31.96,0.0,0.0,0.01,270.16,196.15,32.98,31.06,0.01,0.01,0.0,112.98,284.0,45.5,26.97,0.27,1.39,0.02,262.83,332.94,42.23,34.16,0.77,0.61,0.07,130.04,342.08,48.89,27.66,0.12,1.07,0.01,266.21,234.16,49.54,29.87,0.0,0.0,0.0,260.41,257.57,43.75,28.05,0.04,0.27,0.0,99.49,125.53,43.54,20.71,0.0,0.0,0.0,57.58,87.42,41.19,22.92,0.54,0.68,0.05,56.02,120.04,45.51,28.53,0.21,1.44,0.02,265.05,337.44,43.68,22.98,0.48,0.31,0.06,39.24,159.45,43.89,32.43,0.09,0.84,0.01,60.63,101.93,46.07,20.91,0.0,0.0,0.0,288.21,358.24,45.55,31.46,0.15,1.0,0.01,246.0,133.77,45.41,25.56,0.15,0.66,0.01,268.95,320.25,43.88,29.82,0.46,2.6,0.04,67.02,58.53,45.98,24.07,0.43,0.97,0.04,272.6,331.65,45.52,32.6,0.0,0.0,0.03,253.72,340.93,40.47,32.79,0.4,0.55,0.04,102.63,27.7,45.04,29.85,0.55,1.78,0.05,279.9,6.65,45.5299987792969,29.7700004577637,5.65999984741211,0.689999997615814,0.670000016689301,1,not_pass,left,0.46153846153846156,0.5384615384615384,0.4,0.5,0.5,0.0,0.0,0.0,0.0,1
2022091101.1564,53.59,31.52,1.16,0.3,0.17,341.32,58.58,53.92,10.45,0.0,0.0,0.01,102.53,221.55,60.5,27.4,0.02,0.03,0.02,113.54,216.29,51.42,29.76,0.15,0.23,0.02,83.92,47.68,57.19,29.63,0.53,1.4,0.11,28.57,273.73,55.3,35.89,0.0,0.19,0.01,202.49,49.85,55.28,30.24,0.31,1.34,0.06,357.33,285.38,71.0,26.9,0.67,0.28,0.07,262.47,138.8,51.37,27.11,0.0,0.0,0.0,119.27,120.2,56.82,26.69,0.07,0.31,0.02,296.74,294.02,54.74,28.27,0.16,0.52,0.04,6.05,324.71,56.97,36.71,0.02,0.45,0.01,195.63,270.65,56.76,22.96,0.32,0.17,0.02,315.94,253.9,60.25,20.98,0.15,0.07,0.05,78.55,142.26,54.96,33.42,0.0,0.0,0.01,70.95,60.25,56.53,32.5,0.05,0.55,0.02,291.76,297.34,59.64,35.97,0.0,0.0,0.01,171.89,243.84,54.2,21.52,0.2,0.13,0.04,38.12,108.2,57.6,19.14,0.36,1.22,0.04,258.88,322.98,60.77,10.87,0.03,1.24,0.01,213.51,113.6,54.51,26.6,0.03,0.09,0.02,5.96,52.14,55.34,18.9,0.0,0.0,0.0,73.06,228.38,54.6599998474121,29.7700004577637,0.930000007152557,4.1100001335144,0.150000005960464,1,not_pass,left,0.17647058823529413,0.8235294117647058,0.2222222222222222,0.2,0.8,0.2,0.08333333333333333,0.9166666666666666,0.16666666666666666,1
2022091101.251,58.49,27.41,0.38,0.17,0.2,69.92,322.48,58.74,21.5,0.04,0.31,0.02,256.4,20.0,52.2,27.92,0.0,0.0,0.01,73.63,76.84,61.48,29.78,0.01,0.23,0.0,265.17,258.03,55.94,33.09,0.11,0.13,0.04,205.48,152.94,58.14,39.33,0.01,0.21,0.0,228.23,192.11,57.22,29.67,0.75,1.05,0.08,207.56,115.69,59.7,26.09,2.93,2.92,0.31,195.24,189.09,42.56,28.52,0.01,0.02,0.01,79.85,222.47,61.5,27.63,0.0,0.0,0.01,151.26,100.6,56.34,22.75,0.0,0.0,0.01,355.65,348.5,58.25,31.41,0.01,0.15,0.01,248.09,220.08,53.52,32.2,0.26,0.82,0.03,100.92,63.37,56.05,25.85,0.2,0.6,0.03,33.08,315.18,56.28,30.7,0.01,0.09,0.03,98.4,231.86,58.15,26.2,0.03,0.5,0.0,131.68,135.32,55.96,35.64,0.27,0.83,0.03,76.15,83.8,55.4,38.34,0.62,2.46,0.05,105.9,335.39,57.74,23.17,0.0,0.0,0.01,24.73,277.2,51.78,26.52,3.78,2.44,0.39,155.5,170.2,54.03,21.04,0.13,0.03,0.03,12.81,30.17,58.19,33.23,0.01,0.25,0.01,205.07,187.35,57.189998626709,29.9400005340576,0.0,0.0,0.0299999993294477,1,not_pass,left,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1
2022091101.3080,76.9,17.53,0.16,0.6,0.07,11.23,205.32,75.99,9.33,0.12,0.59,0.02,44.08,110.22,77.48,26.39,0.92,1.16,0.08,239.74,306.24,71.01,26.56,0.81,0.04,0.17,68.78,130.49,75.01,20.24,0.28,0.45,0.14,135.28,216.11,76.53,23.89,0.26,0.93,0.02,72.1,173.93,80.19,15.94,4.61,4.07,0.44,338.94,90.5,72.33,23.84,0.0,0.0,0.01,63.07,219.05,77.81,9.46,0.01,0.2,0.0,88.89,187.11,75.75,45.87,0.04,0.61,0.02,52.47,42.54,77.42,20.94,0.0,0.0,0.02,294.41,249.2,75.85,22.09,0.3,1.58,0.03,93.88,197.78,78.02,24.54,0.0,0.0,0.01,121.09,55.64,90.6,29.46,1.73,2.65,0.16,248.55,21.95,77.82,22.88,0.31,0.81,0.02,248.22,151.4,75.18,28.94,0.04,0.41,0.0,105.09,211.39,78.18,32.73,0.07,0.06,0.05,253.18,330.99,75.61,25.59,0.1,1.36,0.02,116.2,143.08,75.17,36.1,0.0,0.0,0.0,84.06,53.49,75.54,27.43,0.23,1.15,0.02,126.54,125.28,77.98,46.17,0.0,0.0,0.0,188.99,292.75,77.44,30.89,0.29,1.39,0.03,239.24,288.85,76.9800033569336,23.9899997711182,0.0,0.0,0.0,1,not_pass,right,0.23809523809523808,0.7619047619047619,0.25,0.3,0.7,0.25,0.2857142857142857,0.7142857142857143,0.3333333333333333,1
2022091101.3399,28.22,22.2,0.0,0.0,0.01,253.99,18.33,27.84,10.02,0.0,0.0,0.01,232.01,160.41,22.42,22.53,0.29,0.08,0.04,134.39,26.61,25.63,29.37,0.01,0.01,0.02,138.96,70.5,31.4,23.58,0.0,0.0,0.0,273.45,214.94,26.99,23.64,0.28,0.94,0.03,358.97,39.56,31.7,20.89,0.0,0.0,0.0,166.12,52.49,14.44,20.42,1.82,2.6,0.18,255.08,156.25,25.08,30.53,0.26,0.77,0.02,213.39,340.43,27.75,25.77,0.0,0.0,0.04,223.02,255.63,25.15,20.95,1.45,0.95,0.14,68.65,49.71,26.12,18.43,0.2,1.13,0.04,74.93,98.92,25.44,23.97,1.38,1.56,0.12,146.7,65.94,22.69,30.79,3.61,2.44,0.35,156.98,221.26,28.12,20.52,0.0,0.0,0.0,305.87,28.13,23.06,29.01,0.25,0.52,0.03,121.75,28.32,28.33,28.62,0.04,0.46,0.01,271.67,240.1,27.37,30.5,0.08,0.74,0.01,314.68,345.3,25.82,10.23,0.01,0.01,0.01,111.62,219.86,27.97,27.23,0.0,0.0,0.01,215.34,258.01,25.55,26.21,0.03,0.53,0.35,308.06,122.99,29.86,27.75,5.96,3.74,0.58,170.77,177.38,26.8500003814697,23.8299999237061,0.0,0.0,0.0,0,not_pass,middle,0.3111111111111111,0.6888888888888889,0.3333333333333333,0.3888888888888889,0.6111111111111112,0.4,0.13636363636363635,0.8636363636363636,0.0,1
2022091101.3961,95.51,19.35,0.45,0.32,0.05,224.34,347.05,93.86,44.56,0.31,0.36,0.04,77.11,227.62,94.98,26.58,0.81,0.6,0.09,215.98,259.23,88.82,21.38,0.48,0.85,0.05,84.75,7.28,93.64,20.69,1.01,1.31,0.11,122.78,42.59,94.27,24.37,0.71,0.77,0.07,37.27,342.17,104.6,30.51,0.71,0.17,0.08,165.13,30.03,98.58,23.61,0.28,1.37,0.04,200.96,322.03,90.15,23.67,0.45,0.51,0.05,92.32,232.39,95.5,13.7,0.42,1.18,0.05,286.22,303.26,92.78,14.94,0.53,0.33,0.06,76.57,18.93,95.54,21.03,0.62,2.46,0.06,258.01,337.82,93.95,22.36,1.0,1.05,0.1,52.1,15.91,93.92,18.68,1.11,3.37,0.08,38.29,7.78,101.72,17.78,2.21,0.39,0.22,210.25,278.65,95.18,24.07,0.19,0.4,0.02,276.19,353.76,95.99,34.7,0.41,0.14,0.05,207.18,201.81,95.49,29.79,1.52,0.82,0.15,236.74,253.94,93.38,25.53,0.94,1.26,0.1,100.62,166.25,93.1,35.06,0.22,0.71,0.04,81.6,252.49,93.51,27.14,1.3,1.17,0.14,27.88,144.6,95.72,44.59,0.12,0.39,0.08,126.65,212.83,94.4400024414062,23.8799991607666,0.28999999165535,7.01000022888184,0.0399999991059303,0,not_pass,middle,0.36666666666666664,0.6333333333333333,0.3076923076923077,0.47058823529411764,0.5294117647058824,0.375,0.4166666666666667,0.5833333333333334,0.42857142857142855,1
2022091101.641,60.82,27.79,0.22,0.27,0.03,279.72,124.94,60.08,42.96,0.19,0.28,0.02,109.19,240.58,55.49,29.0,0.12,0.07,0.01,132.04,154.79,63.99,29.67,0.11,0.87,0.02,249.63,173.16,58.5,33.05,0.93,1.48,0.09,98.3,150.66,60.15,22.47,0.0,0.07,0.01,110.84,221.57,59.99,29.55,1.53,0.87,0.17,105.18,98.84,64.17,32.35,0.26,0.16,0.02,233.06,359.18,46.91,29.49,0.97,0.24,0.09,64.18,218.96,58.41,9.36,0.28,0.73,0.02,29.01,252.4,58.57,35.17,0.26,0.16,0.05,106.45,35.45,60.6,31.55,0.08,0.89,0.01,201.14,227.36,56.03,31.52,0.37,0.5,0.05,97.67,67.85,58.15,22.95,0.43,0.11,0.05,164.65,22.63,58.18,17.28,0.08,0.65,0.01,98.33,170.13,60.32,26.35,0.06,0.45,0.01,163.1,334.72,58.79,27.12,0.01,0.11,0.02,78.98,86.55,56.21,22.53,0.43,0.5,0.05,71.87,100.68,60.76,9.58,0.05,0.05,0.03,47.67,199.46,58.17,43.28,0.41,0.4,0.04,96.22,199.13,60.71,33.04,0.26,1.36,0.03,213.42,178.35,60.76,17.54,0.01,0.01,0.01,250.92,143.52,59.8199996948242,29.8799991607666,0.0399999991059303,1.39999997615814,0.109999999403954,1,not_pass,left,0.18181818181818182,0.8181818181818182,0.0,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,1
